Year	Flux	Count_obs	Flux_per_err
1980	  15402.38	 2	 9.150682
1981	  68758.00	 0	      NaN
1982	 140866.30	 0	      NaN
1983	  51194.38	 0	      NaN
1984	 232637.42	 0	      NaN
1985	 456684.26	 0	      NaN
1986	 479105.93	 0	      NaN
1987	 424179.52	 0	      NaN
1988	 171368.86	 0	      NaN
1989	 213496.74	 0	      NaN
1990	 724479.12	 0	      NaN
1991	 492794.83	 4	27.622692
1992	 504221.18	 6	40.446388
1993	 869242.23	 8	35.955134
1994	 374358.25	 8	29.628981
1995	 555701.39	 5	33.877852
1996	 767479.04	 6	50.665949
1997	 518884.19	12	78.705730
1998	 752164.38	12	33.210626
1999	 598177.81	10	18.345863
2000	 862315.24	12	24.842290
2001	 689634.60	11	18.037213
2002	 484075.49	 9	16.542892
2003	 206880.90	12	32.989893
2004	 843097.23	10	21.040476
2005	 458485.04	 7	33.479968
2006	 297169.39	11	38.748897
2007	 437623.18	14	20.664333
2008	1127928.92	15	22.157932
2009	 867633.97	14	35.733978
2010	 379384.42	 8	22.955459
2011	1028479.56	10	23.763440
2012	 219760.82	 9	41.841493
2013	 349386.18	10	26.688034
2014	 284587.29	13	35.819890
2015	1705301.53	15	16.447736
2016	 349411.26	 8	72.267316
