Year	Flux	Count_obs	Flux_per_err
1980	15356630.15	11	52.62692
1981	 7475413.84	10	31.82520
1982	11721130.82	 6	26.66595
1983	18202493.16	 7	25.76916
1984	22322093.81	 6	36.47331
1985	16080035.32	 5	43.50588
1986	13844745.26	 7	42.72211
1987	 8448862.20	 6	60.18181
1988	 5926452.24	 6	31.13722
1989	 4822686.80	 6	12.83664
1990	 3955255.36	 5	21.22223
1991	 5220199.39	 6	17.78330
1992	 4655753.21	 6	28.22935
1993	 7600777.03	 6	36.24920
1994	 4468023.49	 6	36.58623
1995	 7721738.60	 6	24.63013
1996	 6459266.19	15	26.13216
1997	 8676833.96	15	24.93521
1998	 6575861.32	13	25.67476
1999	 6141435.14	14	39.94625
2000	 5042123.44	16	23.59317
2001	 4666620.91	11	30.75074
2002	 2690324.91	 6	14.91810
2003	 6885236.55	 6	67.55288
2004	 6419424.83	 0	     NaN
2005	20013338.41	 0	     NaN
2006	11950075.11	 0	     NaN
2007	 9015454.96	 0	     NaN
2008	22451738.13	 0	     NaN
2009	14207951.12	 0	     NaN
2010	 9103310.16	 0	     NaN
2011	21671790.99	 0	     NaN
2012	 3264275.56	 3	17.43790
2013	 4289862.09	18	35.30631
2014	10650287.98	16	41.06161
2015	 8113511.18	17	45.88550
2016	 6436959.33	18	34.47251
