Year	Flux	Count_obs	Flux_per_err
1980	 72896.02	 5	230.867624
1981	 68418.74	 6	 25.564831
1982	117966.28	 6	 41.873212
1983	245633.89	 6	 19.414431
1984	172030.58	 6	 35.216881
1985	 79061.42	 6	 33.088126
1986	153016.44	 6	123.426489
1987	110997.29	 6	 16.054552
1988	119698.13	 5	 28.804413
1989	152587.33	 6	 14.311013
1990	117799.64	 6	 19.644019
1991	 74728.55	 5	 21.992721
1992	 69705.08	 5	 53.201730
1993	105380.56	 5	 31.642748
1994	162688.40	 5	 35.719916
1995	 59809.77	 5	 47.759685
1996	194352.00	15	 16.629291
1997	 61757.11	15	 51.006099
1998	 74504.03	 9	 31.466916
1999	 89417.87	 4	 35.686801
2000	 49228.70	 4	 22.913194
2001	 54466.27	 4	117.998693
2002	 48388.38	 4	 59.121603
2003	109350.44	 4	 57.231495
2004	 77416.61	 4	 29.409908
2005	 75767.04	 4	 27.929919
2006	 87843.70	 4	  6.333168
2007	 77833.81	 4	 25.256562
2008	 75094.67	 5	 22.432365
2009	 75790.48	 4	 10.402199
2010	 62242.13	 4	 18.071198
2011	140353.42	 4	 15.983211
2012	 30717.66	 4	 33.043115
2013	 51642.85	 4	 84.327432
2014	 63792.12	 4	 29.781781
2015	 40956.12	 4	 38.069047
2016	 43565.20	 4	 17.875719
