Year	Flux	Count_obs	Flux_per_err
1983	25863.462	4	 81.526650
1984	26648.421	7	 36.841634
1985	25642.359	7	 47.943825
1986	33839.906	4	340.856464
1987	32901.417	6	157.972145
1988	 5207.733	5	210.703990
1989	13563.467	4	 54.383528
1990	10718.448	4	376.166871
1991	39892.742	3	136.559271
1992	26888.582	3	256.189453
1993	12628.082	2	526.617161
1994	24054.641	5	 69.703676
1995	31153.570	2	 74.796479
1996	17190.011	3	167.905231
1997	28035.641	4	 93.873843
1998	30312.808	2	 51.498604
1999	10042.272	8	 23.084836
2000	25174.897	2	 44.840320
2001	36573.150	2	 44.276341
2002	22737.357	3	 91.413680
2003	 9459.113	0	       NaN
2004	41957.392	1	  7.098936
2005	 8800.190	2	 47.480846
2006	18268.099	1	 44.433275
2007	28123.329	2	  7.967076
2008	 4712.266	3	 31.106558
2009	12485.675	2	103.465866
2010	16537.053	1	 30.107689
2011	 7551.796	4	 12.547782
2012	14745.725	2	  5.437850
2013	21097.066	2	 16.413029
2014	17489.968	2	 43.911922
2015	38673.621	2	 69.477518
2016	12314.146	1	149.295228
