Year	Flux	Count_obs	Flux_per_err
1983	39359.9565	 1	 10.66902
1984	10333.0027	 0	      NaN
1985	 4258.8209	 0	      NaN
1986	17950.9389	 0	      NaN
1987	 2015.3450	 0	      NaN
1988	  715.8748	 0	      NaN
1989	 6011.0027	 1	 41.09559
1990	 1806.9890	 0	      NaN
1991	 1418.3460	 3	146.33336
1992	  984.7255	 6	115.76918
1993	 5771.4290	30	 72.76178
1994	  908.7990	28	 36.96057
1995	 8042.4792	37	 82.36410
1996	 8095.0324	37	 72.84495
1997	 8183.3866	28	 77.62152
1998	 5049.9257	29	 63.64635
1999	 4449.5881	23	 94.04047
2000	 3402.0707	25	107.98726
2001	 1366.1249	24	 29.46935
2002	 2849.1013	28	 46.13012
2003	 3623.0315	27	 30.20767
2004	 2315.8610	24	 33.41546
2005	10821.7213	41	 75.81226
2006	 7791.0095	30	112.81120
2007	 1194.2436	18	 98.16197
2008	 1274.8213	25	 55.52156
2009	 2595.7153	 0	      NaN
2010	 4323.2066	 0	      NaN
2011	 6488.4551	 5	142.64540
2012	 5414.0865	25	 67.68344
2013	 1108.5110	19	 86.14655
2014	  903.2560	22	 36.88228
2015	 1068.2094	17	107.05795
2016	12310.9400	14	 97.76992
