Year	Flux	Count_obs	Flux_per_err
1983	 30595.5128	 1	 3.12532
1984	212928.3798	 9	65.69319
1985	176856.6341	13	21.42321
1986	 96036.2313	15	14.52271
1987	122629.1000	11	64.12293
1988	200414.3959	16	52.79535
1989	 58712.4527	12	85.51524
1990	 55951.1137	 8	53.71070
1991	174300.5103	11	40.13785
1992	 22738.2087	11	52.92848
1993	 39617.4786	13	54.65143
1994	210198.5032	10	49.41971
1995	213737.0792	 9	46.44937
1996	126173.7369	11	61.14088
1997	133022.8001	 4	98.06927
1998	189324.7760	 9	62.07020
1999	 16612.0197	 9	41.02224
2000	   720.8159	 2	64.89967
2001	 79970.9779	 5	44.13279
2002	174099.0322	10	72.84384
2003	283559.3191	12	36.82221
2004	193819.2543	12	28.12829
2005	141060.6403	11	64.56489
2006	 14914.1601	10	85.36554
2007	 12712.8830	 6	27.33251
2008	 20971.1618	 6	34.31897
2009	 91420.3421	 5	16.83594
2010	130083.3200	 6	56.35299
2011	 75108.0957	 2	47.41290
