Year	Flux	Count_obs	Flux_per_err
1989	 14073.6493	 7	 34.98193
1990	  3410.4135	 4	 44.35126
1991	 81485.0303	11	 59.73415
1992	103816.0616	 7	196.26432
1993	  9995.5993	 9	144.69175
1994	 12225.6872	16	 69.17706
1995	 45574.4335	 4	184.86041
1996	   764.5294	 2	 62.09796
1997	213510.3935	 8	 69.32937
1998	167529.0150	 5	145.92781
1999	  3918.6299	 6	 66.39361
2000	 26891.0211	 7	 52.32168
2001	113470.1913	 6	 44.80661
2002	241394.8760	 7	 80.64364
2003	 31675.9255	 4	 62.49686
2004	270531.7814	 3	 69.20879
2005	 16100.7245	 1	160.39849
2006	  1871.6253	 2	 52.90913
2007	 98257.3463	 2	 18.61987
2008	  2035.1854	 3	 64.61509
2009	 38718.6807	20	 34.91734
2010	176970.4077	 6	 27.37315
2011	  1813.5660	 2	 33.21176
2012	 23950.2869	 2	 53.04822
2013	152809.1819	 2	 54.20078
2014	 21402.0113	 2	 98.19118
2015	727947.2978	 2	 52.94383
2016	304325.7727	 2	 54.35571
