Year	Flux	Count_obs	Flux_per_err
1982	4008169.24	266	  34.28830
1983	4462763.68	311	  22.06096
1984	3057214.26	314	  19.14245
1985	4780157.89	307	  24.77569
1986	4265210.64	299	  17.89261
1987	2596913.85	299	  21.98309
1988	2521051.53	293	  29.07849
1989	3799480.02	253	  22.85248
1990	5073739.58	289	  26.37039
1991	3097778.92	283	  33.17364
1992	4878155.87	307	  71.99708
1993	8693325.42	302	1086.52390
1994	6130710.18	308	 943.88690
1995	6270124.35	305	 475.71692
1996	5972259.74	302	 910.56516
1997	6539959.43	309	 375.37172
1998	6212966.65	289	 318.92068
1999	4670609.93	278	 212.34458
2000	4530238.69	291	 170.49899
2001	6121907.37	296	 213.61547
2002	5093589.74	279	 295.11269
2003	4097918.68	296	 233.74567
2004	4909729.78	259	 313.58223
2005	4477079.71	275	 462.69922
2006	6370720.67	307	  89.77324
2007	4347878.03	315	  32.43555
2008	5644117.45	123	  35.96487
2009	4253483.01	347	  38.95851
2010	3032376.30	113	  44.77379
2011	6541535.42	104	  30.25325
2012	2051997.05	  0	       NaN
2013	2585354.03	130	  28.68838
2014	2601940.02	186	  40.59405
2015	2991650.86	201	  30.06415
