Year	Flux	Count_obs	Flux_per_err
1980	103991.30	 6	22.98883
1981	 83752.61	 0	     NaN
1982	 88549.81	 0	     NaN
1983	234682.71	 0	     NaN
1986	100036.92	 0	     NaN
1987	171111.60	 0	     NaN
1988	148053.62	 0	     NaN
1989	103003.03	 0	     NaN
1990	 97044.97	 0	     NaN
1991	 91513.35	 0	     NaN
1992	 91762.88	 1	58.37122
1993	 72500.43	15	39.49874
1994	 62912.61	22	23.87990
1995	 99904.43	 8	26.58590
1996	 73524.43	 0	     NaN
1997	 87912.14	 0	     NaN
1998	107306.81	 0	     NaN
1999	108510.57	 0	     NaN
2000	 82036.64	 0	     NaN
2001	 74069.95	12	12.80997
2002	 40953.94	24	14.33705
2003	 58623.43	15	11.70324
2004	 64138.45	 0	     NaN
2005	 66992.86	 0	     NaN
2006	 53179.64	 0	     NaN
2007	 85869.68	 0	     NaN
2008	 67346.97	 0	     NaN
2009	 95846.18	11	17.15563
2010	 72648.62	 0	     NaN
2011	 54110.48	 0	     NaN
2012	 42327.88	 3	13.07074
2013	 53692.49	24	19.97183
2014	 54925.37	25	18.42782
2015	 84717.38	25	16.20965
2016	 66321.74	24	12.57241
