Year	Flux	Count_obs	Flux_per_err
1980	 5678536.59	12	29.92540
1981	10767402.82	10	42.86730
1982	11076395.75	 7	53.42796
1983	 8117891.61	 7	34.77990
1984	 6991720.14	10	39.43764
1985	 9449851.92	 9	41.64271
1986	 6549922.03	 9	22.60639
1987	 4503035.29	16	30.07599
1988	 5363902.16	14	30.61986
1989	 5446116.31	15	20.20576
1990	11858975.05	11	25.51060
1991	 9817106.07	 9	45.36379
1992	 4306962.62	 7	14.39159
1993	11234081.31	 6	34.06986
1994	 5620356.23	 9	25.97301
1995	 5802762.43	 9	24.61789
1996	 7754568.82	 7	17.30649
1997	 9830796.04	 3	54.02872
1998	 8070599.71	 0	     NaN
1999	 5490787.35	12	30.35865
2000	 3932218.47	16	25.76535
2001	 7030675.91	 2	20.48398
