Year	Flux	Count_obs	Flux_per_err
1981	  63011.235	11	 55.83473
1982	 158671.869	12	 75.08493
1983	 663538.205	 9	 76.60725
1984	  84357.653	 0	      NaN
1985	 100804.571	 0	      NaN
1986	  58492.442	 3	 17.01449
1987	  97522.978	12	 78.39386
1988	  63522.566	12	 72.40820
1989	  23430.015	12	 46.56415
1990	  27478.016	13	 42.05979
1991	  57021.694	11	 45.01828
1992	 105190.988	12	 52.69812
1993	 685945.744	 1	 94.17133
1994	  30438.876	 4	 41.99109
1995	   6206.938	 1	116.65916
1996	  29055.142	 6	 67.80877
1997	  52350.183	 6	 67.91494
1998	  45826.122	 6	 57.36862
1999	  25513.508	 4	 32.87555
2000	  28219.257	 4	 29.94461
2001	  22854.101	 4	 33.23917
2002	  21045.874	 5	 55.03105
2003	  39702.120	 3	 45.56586
2004	 609194.474	 5	 44.36233
2005	 418648.482	 4	 81.79856
2006	  28667.571	 4	 12.66846
2007	  16977.130	 4	 54.93275
2008	  46224.375	 4	 15.75781
2009	  22646.440	 4	 30.69153
2010	1234772.979	 4	 77.20422
2011	  19209.346	 4	 55.20268
2012	  13559.714	 4	 65.28576
2013	  74605.702	 4	164.34780
2014	  17614.659	 4	 91.01912
2015	  22477.704	 4	122.78022
2016	  19627.211	 4	 45.57275
