Year	Flux	Count_obs	Flux_per_err
1994	 69133.15	 9	18.513329
1995	 49350.65	 6	14.387865
1996	195581.54	 0	      NaN
1997	 44246.15	12	21.692949
1998	 96235.60	12	17.382267
1999	 17434.88	12	66.271653
2000	 26934.60	14	11.525166
2001	 19644.09	 9	16.899515
2002	 29898.65	 0	      NaN
2003	169282.10	 0	      NaN
2004	 66906.45	 0	      NaN
2005	 42625.55	 0	      NaN
2006	 66800.35	 0	      NaN
2007	 47804.99	 0	      NaN
2008	 25126.03	 0	      NaN
2009	 35945.24	 0	      NaN
2010	 64570.17	 0	      NaN
2011	 80084.29	 6	10.882642
2012	 46051.92	18	11.747809
2013	 71592.17	19	14.276405
2014	 60938.57	21	 9.056459
2015	 62482.78	23	12.121154
2016	 85125.24	19	15.320780
