Year	Flux	Count_obs	Flux_per_err
1989	11807.792	11	 27.41023
1990	 7137.511	12	 33.35620
1991	 7975.708	11	 45.79711
1992	 6932.933	13	 33.54072
1993	 7636.572	12	 26.99751
1994	 5156.924	12	109.43514
1995	 9595.679	 9	 18.13596
1996	11291.972	 7	 59.75225
1997	 5157.469	 6	 33.28108
1998	10321.371	 7	117.95592
1999	 6333.907	 6	 24.09029
2000	 7922.955	 6	 49.42805
2001	 3891.244	 7	 40.16127
2002	 5824.962	 8	 22.94649
2003	13208.534	 7	 37.62517
2004	 5197.706	 7	 12.06372
2005	 4155.980	 7	 27.06955
2006	 5799.099	 9	 33.81119
2007	 4494.711	 4	 25.26621
2008	 3592.967	 7	 24.23224
2009	 8813.944	 6	 19.56790
2010	 5822.245	 8	 60.77049
2011	 2087.762	12	 30.47184
2012	 3372.446	12	 24.95510
2013	11808.752	11	 25.93037
2014	 8858.660	 6	 53.16904
2015	12246.698	 7	 51.58881
2016	10241.006	 7	 39.49404
