Year	Flux	Count_obs	Flux_per_err
1980	 45529915.03	10	 11.164146
1981	 42171582.91	 5	 15.618774
1982	117258987.62	 7	 15.985517
1983	120513240.83	 5	107.986987
1984	 96744770.68	 7	 18.973693
1985	 40328622.77	 6	 46.007619
1986	102776773.25	 6	  8.540594
1987	 33008404.06	 6	 21.030079
1988	 17585723.00	 6	 64.163936
1989	  6661680.17	 6	 31.373142
1990	 70342477.75	 6	 25.341602
1991	104702103.71	 6	 11.333155
1992	 83168214.58	 5	  6.601904
1993	212033804.33	 4	 41.464737
1994	 46691467.11	 5	 30.542062
1995	 62573622.48	 3	 32.998387
1996	 50083391.58	11	 19.838285
1997	 58501445.86	30	 24.719658
1998	102995800.38	15	 23.968692
1999	 98420678.83	13	 12.336914
2000	 40927025.58	10	 22.382424
2001	 89894739.16	12	 18.861545
2002	 35273291.65	10	 16.608171
2003	 35087642.95	 7	 16.267601
2004	 69577800.22	 1	  2.467357
2005	 43643269.91	 5	 11.599697
2006	 38903811.03	 3	 29.237664
2007	 99232250.87	12	 18.627634
2008	132848071.50	11	 21.717468
2009	 96646565.43	16	 11.118713
2010	113685472.85	16	 21.506569
2011	 69625152.24	18	 17.535883
2012	 19814091.19	18	 16.765056
2013	 95045384.17	17	 30.451369
2014	 75676275.49	16	 22.595287
2015	 82702777.49	14	 14.703468
2016	116779094.62	15	 10.219589
