Year	Flux	Count_obs	Flux_per_err
1995	114156.61	 2	174.99447
1996	109799.69	 5	 44.89447
1997	106317.28	 8	 13.97531
1998	130514.70	 6	 25.62065
1999	 44832.28	 7	 42.89338
2000	 46167.68	 8	 26.71701
2001	 72822.96	14	 51.45937
2002	 88157.48	14	 24.56521
2003	150822.09	15	 36.21631
2004	104233.93	12	 20.92494
2005	121233.85	13	 25.17197
2006	 73251.43	11	 51.20668
2007	 46639.98	11	 43.66040
2008	 60353.68	12	 36.03617
2009	138158.22	10	 52.65499
2010	112309.47	 9	 46.56780
2011	 82521.61	 8	 37.16737
2012	 64044.08	 8	 21.88281
2013	148852.37	11	 15.37937
2014	101490.06	 7	 63.39019
2015	124697.91	 8	 67.87844
2016	 92623.34	 9	 59.73007
