Year	Flux	Count_obs	Flux_per_err
1980	8289159.40	17	17.072332
1981	4720977.74	16	27.317937
1982	5768131.65	 6	23.445502
1983	8100435.09	10	24.104440
1984	8318055.59	 9	33.893669
1985	5345633.51	 1	34.971366
1986	4775599.99	 9	22.042553
1987	6748440.98	11	32.594591
1988	4425661.68	 4	17.204222
1989	5716433.05	 5	20.021151
1990	7401307.29	 5	20.890848
1991	7754260.52	 4	37.788089
1992	6984020.84	 8	46.354226
1993	7615473.81	 8	56.953347
1994	6518943.58	 4	48.938085
1995	6927408.98	12	20.808119
1996	6237498.75	12	42.162895
1997	5994017.72	11	13.986427
1998	9030254.96	12	10.859383
1999	4296003.14	11	18.326485
2000	3713293.73	12	40.718471
2001	3979611.57	10	40.760635
2002	3587661.90	 1	 7.511245
2003	8217438.06	 6	20.761440
