Year	Flux	Count_obs	Flux_per_err
1980	 23258.981	6	120.79249302
1981	 53294.937	4	130.02914851
1982	 13369.187	3	 68.02458539
1983	  9745.759	5	 34.45596369
1984	 25768.630	6	 61.10686567
1985	 30972.108	5	 26.83040045
1986	 35422.583	8	 41.60137753
1987	 44320.717	6	 50.36630075
1988	  1479.519	5	 70.76097589
1989	  5206.607	5	 75.71262989
1990	  6512.190	4	178.18634861
1991	 37948.149	5	 58.86910715
1992	 36948.243	5	 98.49719438
1993	 12910.245	0	         NaN
1994	 17122.916	3	108.21876643
1995	 12070.339	2	 84.34131157
1996	  7239.858	4	 30.18252254
1997	 31889.474	6	 30.84785281
1998	 39300.555	2	 36.28533015
1999	  2039.338	2	 94.40674646
2000	 13327.594	6	 64.79257946
2001	 37152.632	2	 51.47632952
2002	 22129.326	3	 36.81157629
2003	 15979.678	2	209.38463311
2004	 47425.150	2	 51.86295739
2005	  8795.386	2	 49.85380657
2006	 15119.083	3	 30.65153086
2007	 43213.291	2	 38.38216078
2008	  1398.728	2	 49.25452462
2009	  8808.016	3	 60.54860818
2010	 50928.030	1	  0.08720237
2011	  1168.036	2	 15.31464825
2012	 19119.298	0	         NaN
2013	 23196.617	4	 33.35426675
2014	  9910.584	1	 37.27998703
2015	105276.705	2	 82.02595757
