Year	Flux	Count_obs	Flux_per_err
1987	 8393.531	 3	 15.37994
1988	23338.675	12	111.86239
1989	21039.049	12	 41.64061
1990	51558.056	12	 63.09929
1991	35366.073	10	 34.41735
1992	18414.873	12	 29.42630
1993	39802.842	12	 54.45454
1994	16363.014	12	 33.06636
1995	25027.471	11	 19.39449
1996	21838.507	11	 26.08680
1997	18837.769	11	 24.37768
1998	26815.604	11	 10.64082
1999	20648.816	11	 30.95530
2000	15612.534	11	 48.18053
2001	21694.057	11	 10.13294
2002	12742.089	12	 65.89053
2003	10444.098	12	 25.00546
2004	12635.955	12	 31.91110
2005	 8388.763	12	 47.33618
2006	15965.861	12	 17.53079
2007	13657.705	12	 23.33469
2008	20351.157	12	 18.98665
2009	22760.424	12	 15.20942
2010	12816.478	12	 49.81879
2011	30008.926	 8	 19.40442
