Year	Flux	Count_obs	Flux_per_err
1980	546936.26	12	16.021357
1981	454329.99	12	16.219124
1982	595746.31	12	18.386860
1983	794553.40	11	20.024585
1984	676157.81	11	58.768551
1985	422297.13	11	19.149993
1986	495285.96	11	12.650719
1987	541070.92	11	12.242539
1988	463977.55	18	81.261456
1989	655434.24	21	14.012770
1990	619195.44	23	14.415587
1991	532288.31	10	14.395687
1992	560022.51	10	17.613008
1993	512363.52	 6	 7.939811
1994	568582.95	10	12.561529
1995	472416.91	 8	12.446829
1996	662249.04	 8	 8.794702
1997	522780.15	 8	10.237977
1998	558058.38	 8	 8.797948
1999	536233.20	 8	17.542155
2000	507493.99	 8	15.635916
2001	462937.40	 8	 9.587233
2002	405308.53	 8	11.380011
2003	654614.52	 8	 7.018106
2004	511873.13	 8	 9.495445
2005	577778.43	 8	12.443136
2006	622015.16	 9	10.231693
2007	436092.84	12	 9.447212
2008	482495.38	12	14.016458
2009	430559.16	12	13.931692
2010	373301.44	12	27.148591
2011	476501.20	12	19.451866
2012	255556.35	12	26.506441
2013	262603.47	13	12.715570
2014	242876.48	12	17.472593
2015	178107.21	11	26.043893
2016	140160.55	12	15.111017
