Year	Flux	Count_obs	Flux_per_err
1983	26296.0685	 2	  7.384627
1984	 7543.1662	 0	       NaN
1985	 3746.7060	 0	       NaN
1986	19342.8290	 0	       NaN
1987	 1548.5399	 0	       NaN
1988	  852.2597	 0	       NaN
1989	 6827.0239	 1	129.800788
1990	 2092.6077	 0	       NaN
1991	 2241.3649	 2	120.465765
1992	 1485.9354	 7	 40.016383
1993	 9133.5737	28	 61.175435
1994	 1429.8652	28	 20.601195
1995	13197.3572	37	 76.148486
1996	12878.3112	37	 60.278092
1997	15173.6529	28	 72.637662
1998	 8025.2131	31	 71.830689
1999	 6262.1087	23	120.892869
2000	 5275.0154	24	103.289401
2001	 1909.3627	24	 31.588224
2002	 4599.8780	28	 66.076571
2003	 5425.1841	26	 44.595274
2004	 4169.3691	23	 49.363338
2005	32100.0327	40	 99.138656
2006	12658.1623	29	148.511821
2007	 2365.2888	18	 60.286757
2008	 2591.8437	24	 43.992159
2009	 5127.5119	 0	       NaN
2010	 5820.9801	 0	       NaN
2011	 8270.8434	 5	 66.040672
2012	 5303.2403	25	 70.087083
2013	 1913.0700	19	 77.593414
2014	 1710.9511	21	 37.894263
2015	 1953.3674	20	 63.212432
2016	 9503.1560	14	 75.163877
