Year	Flux	Count_obs	Flux_per_err
1980	17169.703	12	49.804821
1981	13669.136	12	26.543987
1982	19251.970	12	48.961012
1983	33166.826	11	88.005286
1984	28934.090	11	39.137188
1985	13740.418	11	74.753267
1986	18098.587	11	26.015590
1987	19679.217	11	76.436125
1988	13425.647	11	73.840488
1989	21086.338	11	49.243722
1990	21525.179	11	55.782562
1991	14419.505	11	66.079968
1992	14385.564	10	74.612816
1993	11406.936	 6	14.717084
1994	16205.269	10	69.775525
1995	 9006.080	 7	60.126104
1996	24587.841	 5	51.354383
1997	11414.628	 4	76.288679
1998	13113.413	 3	31.308845
1999	17675.956	 4	32.320228
2000	11206.154	 4	40.878008
2001	10466.892	 4	11.025518
2002	10243.785	 4	13.909638
2003	22476.706	 4	44.289122
2004	15483.598	 4	15.184019
2005	18003.943	 4	11.341607
2006	21353.247	 6	18.607503
2007	15374.844	12	18.579776
2008	17658.590	12	13.807171
2009	14576.235	12	 9.368382
2010	19283.213	12	11.587320
2011	33550.924	12	12.743500
2012	13532.696	12	14.626550
2013	18476.818	11	28.246547
2014	16396.515	12	29.312751
2015	11232.079	12	25.618351
2016	 9738.126	12	41.071967
