Year	Flux	Count_obs	Flux_per_err
1980	 803268.63	10	27.87458
1981	 253421.64	 7	27.90088
1982	 688096.38	 5	91.98772
1983	 901215.13	 6	36.86840
1984	1068760.37	 6	59.17433
1985	 719634.15	 6	33.11982
1986	 399779.53	 6	23.62615
1987	 865907.16	 6	44.06810
1988	 374179.30	 6	86.82855
1989	 776090.06	23	26.88535
1990	 604096.91	44	31.14416
1991	 428152.19	42	26.40871
1992	 422812.89	40	30.32900
1993	1077210.03	51	30.51295
1994	 816324.42	42	21.94304
1995	 586442.54	42	17.09185
1996	1062873.22	 7	23.66221
1997	 522406.21	 0	     NaN
1998	1001108.62	 0	     NaN
1999	 418199.93	 0	     NaN
2000	 448207.11	 0	     NaN
2001	 344788.63	 0	     NaN
2002	 298466.80	 0	     NaN
2003	1836334.54	 0	     NaN
2004	1039297.10	 0	     NaN
2005	 502849.84	 8	15.09806
2006	 706365.59	17	17.07509
2007	 433016.13	15	21.31212
2008	 465030.68	23	11.52985
2009	 770976.71	21	14.42521
2010	 542653.62	17	19.22219
2011	 355076.15	22	13.84303
2012	 196382.32	17	14.03097
2013	 590205.20	24	19.28411
2014	 607901.02	17	25.44246
2015	 643632.44	23	13.72789
2016	 603818.50	17	17.19828
