Year	Flux	Count_obs	Flux_per_err
1981	 88119.59	11	18.21175
1982	110048.35	12	20.54434
1983	197093.40	12	27.02390
1984	188830.37	12	51.73563
1985	187995.22	12	17.59539
1986	 90938.52	16	10.12752
1987	136103.58	16	13.88071
1988	 96248.51	12	27.22983
1989	 72358.97	12	25.54868
1990	 92132.05	12	37.23809
1991	105555.35	12	20.00439
1992	108771.98	12	57.33866
1993	 67943.30	12	61.10358
1994	125965.50	12	30.98781
1995	237935.17	10	13.90299
1996	116451.49	12	32.21066
1997	227480.25	 9	54.07870
1998	188625.45	 0	     NaN
1999	369745.94	 0	     NaN
2000	144191.48	 0	     NaN
2001	119833.74	 0	     NaN
2002	 67159.93	 0	     NaN
2003	 80689.43	 0	     NaN
2004	108578.80	 0	     NaN
2005	114008.09	 0	     NaN
2006	130624.22	 0	     NaN
2007	218142.77	 0	     NaN
2008	130682.87	 0	     NaN
2009	174747.21	 1	 3.31001
