Year	Flux	Count_obs	Flux_per_err
1990	15129.850	 9	34.436066
1991	23283.959	10	29.410635
1992	12843.782	11	77.999949
1993	28946.028	11	46.365476
1994	20528.763	11	53.694697
1995	25195.412	13	38.826675
1996	51337.011	13	56.806435
1997	56902.621	12	37.832013
1998	44916.318	12	30.007961
1999	28058.235	12	54.260804
2000	39994.059	11	29.154302
2001	23581.154	12	36.969018
2002	 8497.533	12	47.928711
2003	26458.899	12	42.372375
2004	16230.648	 4	21.239723
2005	24138.955	 4	25.120167
2006	49107.777	 4	28.743033
2007	21953.423	 4	26.746773
2008	37595.020	 4	22.570995
2009	35370.260	 4	14.580200
2010	25734.852	 4	74.333888
2011	59844.130	 4	18.465282
2012	12809.511	 3	 8.734809
2013	20474.015	 3	15.192692
2014	59818.605	 3	 9.631347
2015	25568.861	 2	 9.008022
2016	31687.840	 2	19.758062
