Year	Flux	Count_obs	Flux_per_err
1984	444725.72	 1	26.82003
1985	185293.80	 0	     NaN
1986	117309.69	 1	22.43182
1987	257780.08	 8	70.54202
1988	112624.88	 8	73.36120
1989	254802.96	 7	39.25601
1990	188775.05	12	35.83093
1991	106468.50	10	25.60950
1992	140466.76	 0	     NaN
1993	239299.80	 0	     NaN
1994	229797.14	 0	     NaN
1995	 89662.34	 0	     NaN
1996	237097.04	 0	     NaN
1997	127196.51	 0	     NaN
1998	271219.78	 5	54.81453
1999	167885.27	 0	     NaN
2000	155708.83	 0	     NaN
2001	 92399.43	 0	     NaN
2002	 70178.42	 0	     NaN
2003	352464.95	 0	     NaN
2004	277644.53	 0	     NaN
2005	 94489.16	 0	     NaN
2006	167024.46	 0	     NaN
2007	 92693.32	13	11.18112
2008	119635.69	22	14.94232
2009	154499.77	21	12.45646
2010	122975.40	21	21.94013
2011	148138.51	19	 9.01168
2012	 76690.93	19	10.91989
2013	172959.63	21	18.71071
2014	118822.90	19	11.45607
2015	130985.39	21	10.69873
2016	199476.87	17	11.90596
