Year	Flux	Count_obs	Flux_per_err
1980	187695.48	11	19.111097
1981	104383.79	 9	14.070883
1982	166867.19	 6	37.386190
1983	317041.89	 5	19.175098
1984	249943.86	 6	22.359831
1985	102269.42	18	30.653673
1986	150190.04	28	15.042584
1987	168603.66	27	16.235816
1988	121000.01	37	22.533930
1989	338750.11	51	17.084108
1990	180083.37	27	13.501557
1991	154408.39	22	19.357800
1992	129306.23	12	16.353816
1993	181625.21	13	12.853773
1994	289659.75	28	22.252389
1995	139339.99	26	21.925834
1996	395314.01	23	13.313649
1997	211884.28	12	 9.270588
1998	232577.83	16	55.770075
1999	178985.06	23	12.691120
2000	245693.72	16	15.110518
2001	232554.34	15	10.633860
2002	155275.34	20	13.581517
2003	498135.85	18	 7.234071
2004	202858.18	14	64.757866
2005	237315.71	14	15.506944
2006	229365.42	18	15.385643
2007	189208.18	17	 9.922955
2008	160221.17	19	10.261905
2009	350510.45	18	 9.487576
2010	274091.51	17	23.317009
2011	331123.90	18	22.100068
2012	173665.25	15	19.898143
2013	370403.35	20	13.641348
2014	278875.15	23	27.554244
2015	254654.62	22	13.962556
2016	235378.75	24	12.180703
