Year	Flux	Count_obs	Flux_per_err
1980	11218005.25	11	20.652213
1981	11250706.35	10	22.067827
1982	14086790.79	 4	12.891871
1983	20868893.68	 4	12.923591
1984	19052680.82	 5	17.006162
1985	13217529.45	 4	12.582421
1986	18059923.77	 4	10.484230
1987	17224017.80	 4	29.514821
1988	12626226.72	 4	38.946751
1989	16929148.84	 4	22.832126
1990	19131036.07	 4	23.175532
1991	11331415.21	 6	16.754835
1992	11920544.22	 9	38.189199
1993	17172650.71	 9	31.176209
1994	17463941.64	 7	12.954358
1995	10986434.70	 5	25.845801
1996	25884551.70	 5	14.796970
1997	10658225.31	 5	14.024309
1998	14132250.90	 6	13.425571
1999	10463222.32	13	20.147876
2000	13131112.50	15	14.937773
2001	 8692209.43	10	17.991513
2002	10619057.55	 9	17.288402
2003	23740779.46	 7	14.289648
2004	18352132.40	 1	 8.421309
2005	16679549.41	 4	62.817312
2006	18092251.32	 4	 8.024703
2007	12980235.81	 3	20.343274
2008	15152740.99	13	12.957460
2009	13206427.41	12	16.549192
2010	12738520.24	12	 9.398849
2011	25570407.46	16	14.544184
2012	10199717.38	15	10.634758
2013	10602663.92	14	14.202684
2014	11382302.00	14	12.962740
2015	 9172762.84	14	13.183996
2016	 8296792.80	14	14.667449
