Year	Flux	Count_obs	Flux_per_err
1980	 6934284.46	24	 38.98966
1981	 2366921.60	16	 34.03592
1982	 6765897.92	 6	146.55395
1983	 7871454.21	 6	235.58987
1984	 9109341.06	11	 69.23522
1985	 7921419.48	12	 38.14998
1986	 2758485.39	 8	 59.46232
1987	 7372186.54	 6	 66.81424
1988	 2157729.64	17	 39.64886
1989	 7270045.43	69	 31.89724
1990	 5938894.41	53	 35.63997
1991	 4770407.33	40	 31.02730
1992	 4897202.38	42	 25.04446
1993	 6641624.06	36	 35.27573
1994	 5625476.70	32	 31.71497
1995	 4713892.31	29	 22.16597
1996	 8869497.85	 6	 38.83043
1997	 3002879.84	 0	      NaN
1998	 8128381.56	 0	      NaN
1999	 2454648.24	 0	      NaN
2000	 2386894.86	 0	      NaN
2001	 1773515.38	 0	      NaN
2002	 1503638.13	 0	      NaN
2003	10685351.97	 0	      NaN
2004	 4733960.91	 3	 28.26910
2005	 3612861.17	16	 25.48674
2006	 4538559.72	21	 27.28613
2007	 3168136.66	17	 25.48684
2008	 1849167.75	22	 21.21696
2009	 4648626.50	23	 18.09104
2010	 4698307.01	20	 25.10755
2011	 4802182.70	17	 24.35695
2012	 2396765.33	17	 23.45322
2013	 5382429.60	22	 27.13968
2014	 4332608.13	19	 21.69915
2015	 4059607.45	21	 19.55688
2016	 4172335.33	18	 18.46982
