Year	Flux	Count_obs	Flux_per_err
1993	 96426.69	14	 7.585291
1994	103841.99	18	17.243516
1995	 82019.79	 9	 9.279649
1996	133925.35	 0	      NaN
1997	 95422.74	 7	 6.771561
1998	104834.38	 8	 5.080170
1999	 86502.81	 8	10.240350
2000	 95869.56	 8	 4.524561
2001	 81534.78	 8	 3.302007
2002	 60338.23	 8	 8.545489
2003	120082.05	 8	 8.307303
2004	102957.40	 8	12.621270
2005	140448.51	 8	 5.985367
2006	123224.89	 9	11.833849
2007	 86444.32	11	 5.379354
2008	128416.39	 9	11.085143
2009	108238.71	 8	 7.325403
2010	 82671.91	 8	 6.066797
2011	141902.54	 9	 2.943596
2012	 84316.61	 8	 5.239634
2013	104997.94	 8	 4.017449
2014	 93416.04	 8	 6.432521
2015	 76526.08	 8	 5.456535
2016	 61695.68	 7	 6.544128
