Year	Flux	Count_obs	Flux_per_err
1980	60033.04	 21	32.375490
1981	69513.85	105	12.518052
1982	50354.05	  0	      NaN
1983	73329.38	 26	18.613873
1984	83170.47	 86	15.339599
1985	65601.90	 90	16.877102
1986	83255.20	120	15.779146
1987	53082.90	 87	19.456172
1988	36743.09	 62	25.491029
1989	49750.70	 54	16.587300
1990	87905.89	 39	17.855349
1991	49264.99	 21	18.032229
1992	59220.96	 33	14.307339
1993	53146.58	 23	17.027395
1994	45951.88	 23	18.122564
1995	29430.06	 26	20.348527
1996	58856.93	 39	16.200097
1997	33786.90	  9	21.502269
1998	62845.58	 12	29.056969
1999	38826.00	 48	40.605438
2000	52019.31	 36	18.060325
2001	35101.15	 50	30.418900
2002	39163.42	 50	15.900230
2003	58835.74	 19	20.576442
2004	77651.45	 13	16.884422
2005	65376.88	 10	19.079681
2006	61392.96	 12	22.882729
2007	55140.71	 11	16.358113
2008	41731.30	 17	23.268190
2009	39091.16	 10	22.855996
2010	47857.03	  8	30.954759
2011	52239.04	  4	18.314305
2012	40511.84	  1	22.538180
2013	51707.92	  0	      NaN
2014	43871.53	  0	      NaN
2015	42511.63	  1	 4.671114
