Year	Flux	Count_obs	Flux_per_err
1980	640486.65	18	24.639855
1981	634238.07	24	19.660072
1982	619451.16	 6	28.891309
1983	618447.10	 6	10.941767
1984	617988.71	 6	27.899937
1985	675306.47	 6	25.543782
1986	549747.22	 6	38.242651
1987	552051.57	 3	40.806709
1988	529861.21	 7	27.496502
1989	694377.70	 6	10.995286
1990	637359.27	 5	13.666955
1991	666790.41	 5	21.352656
1992	571988.07	 5	24.561853
1993	503803.57	 5	 9.374984
1994	546329.10	 4	12.167490
1995	472651.06	 0	      NaN
1996	541687.51	 0	      NaN
1997	588604.30	 0	      NaN
1998	650596.15	 2	57.521933
1999	610394.66	24	64.394067
2000	540150.53	12	31.483799
2001	525001.42	12	20.691854
2002	503894.40	10	19.884741
2003	595306.43	 7	38.240280
2004	511973.17	 0	      NaN
2005	608097.26	 0	      NaN
2006	635856.98	 0	      NaN
2007	629147.99	 0	      NaN
2008	519694.13	 0	      NaN
2009	487500.27	 3	15.930652
2010	603095.69	 8	30.444312
2011	671546.90	 0	      NaN
2012	820922.01	 3	16.639429
2013	679650.24	19	12.209029
2014	720104.48	18	19.956451
2015	653740.21	17	17.660532
2016	712795.04	19	19.609047
