Year	Flux	Count_obs	Flux_per_err
1992	 30489.9970	41	 24.28070
1993	149392.4271	39	 91.05346
1994	 42798.9534	12	 67.15333
1995	142899.8131	 3	 90.61715
1996	133866.4617	 0	      NaN
1997	207743.9082	12	119.85056
1998	299751.3920	11	 99.39663
1999	 82849.0821	11	 58.86673
2000	 95141.3967	15	126.63876
2001	 86421.0545	20	 21.59251
2002	 43684.1676	18	 34.07320
2003	 38561.9531	14	 33.55570
2004	 33172.4743	 0	      NaN
2005	 71953.5954	 0	      NaN
2006	 82918.0955	 0	      NaN
2007	 17269.4528	 0	      NaN
2008	 33720.6290	 0	      NaN
2009	  9490.5730	 1	105.52296
2010	 32706.6608	10	165.59181
2011	 37152.6191	 0	      NaN
2012	  9214.7316	 2	 20.74710
2013	  1459.0263	12	 34.38821
2014	  4430.9160	 3	 29.91174
2015	   752.2285	 1	 37.36840
2016	  7494.7932	 4	 30.83802
