Year	Flux	Count_obs	Flux_per_err
1980	 905887.38	12	19.36910
1981	1059064.37	10	14.13789
1982	1262600.46	 6	50.58105
1983	1248454.98	 4	19.09020
1984	1446713.79	 4	19.36880
1985	1452691.93	 4	31.49937
1986	1559134.02	 4	13.83488
1987	 907897.56	 4	32.08643
1988	 746121.06	 4	38.63311
1989	 749121.36	 4	27.38168
1990	 858970.54	 4	15.38952
1991	 978465.79	 4	33.51004
1992	 800404.23	 4	72.59774
1993	1360620.01	23	13.28081
1994	 636562.96	21	39.87088
1995	 603220.92	 6	15.80267
1996	1011037.08	 5	28.17003
1997	 980935.32	 9	15.45130
1998	 995262.17	12	21.68330
1999	1167463.34	12	11.68390
2000	 872096.47	10	23.85956
2001	1131444.32	11	10.52655
2002	 921739.72	18	23.95369
2003	 586231.94	20	20.48700
