Year	Flux	Count_obs	Flux_per_err
1980	10168424.06	12	33.517489
1981	13261784.98	12	18.825815
1982	12267083.12	12	17.652907
1983	16469080.22	10	33.137224
1984	15619683.95	11	17.726441
1985	10469650.17	11	46.462441
1986	14620833.50	11	17.553618
1987	13560633.48	11	20.168415
1988	11315275.05	18	30.107015
1989	13696764.19	19	15.590260
1990	16181739.06	23	33.288199
1991	11874204.26	11	59.116688
1992	10191207.77	 9	83.034321
1993	10595901.90	16	35.731707
1994	10648751.92	18	45.238515
1995	 8873882.63	13	33.919881
1996	13735610.80	 8	16.567463
1997	 9706935.85	10	36.605944
1998	10347968.81	12	19.727530
1999	 8922243.16	12	11.138292
2000	10642246.55	12	14.150961
2001	 7833948.32	13	11.714556
2002	 8475021.99	20	22.294617
2003	11556749.94	20	10.301615
2004	 8809047.91	 8	13.209826
2005	12812355.90	 8	15.471826
2006	12324899.57	 9	10.424355
2007	 9179297.49	12	 6.700639
2008	12693207.54	12	11.570070
2009	10468713.31	12	10.110645
2010	 9552794.86	12	12.169189
2011	12995500.61	12	10.885529
2012	 7112548.38	12	 7.783790
2013	 8736144.14	18	 9.317861
2014	 9289458.34	18	 8.475761
2015	 7377467.29	18	 9.060571
2016	 6501216.20	18	15.546581
