Year	Flux	Count_obs	Flux_per_err
1980	1.682308e+06	12	  37.66671
1981	1.883407e+05	10	  50.10858
1982	4.023162e+05	13	  34.93849
1983	1.298732e+06	12	  53.70057
1984	6.280747e+05	12	  98.76824
1985	6.019437e+05	12	  71.46559
1986	2.524521e+05	12	  29.09615
1987	2.477930e+05	12	  45.97760
1988	3.701583e+05	12	  53.82707
1989	4.357282e+04	12	  42.65429
1990	1.773182e+05	12	  57.35148
1991	9.198597e+05	12	  55.13778
1992	1.554662e+06	12	 208.07465
1993	7.237147e+06	 7	 304.78035
1994	2.499053e+06	11	 151.12201
1995	1.325813e+06	 3	 210.79566
1996	1.507753e+06	12	 105.31221
1997	1.497550e+05	13	 296.96101
1998	1.401800e+06	10	 856.30944
1999	3.017610e+07	 6	 365.02316
2000	1.939178e+06	 4	 135.30706
2001	1.644521e+06	 4	 263.95997
2002	3.935130e+07	13	 356.45873
2003	1.452600e+08	 6	 151.01319
2004	1.537688e+06	 6	  82.50805
2005	1.057437e+07	 6	2197.66178
2006	1.257924e+09	 6	8296.21424
2007	7.031806e+08	 6	 184.95528
2008	3.751917e+07	 6	5086.48631
2009	4.510804e+05	 6	 625.23207
2010	3.395974e+08	 4	3794.38161
2011	3.023957e+06	 4	2753.92440
2012	8.311030e+05	 6	1030.25804
2013	6.055237e+07	 6	 301.58703
2014	1.047302e+07	 6	 312.24284
2015	3.446736e+06	 4	 331.69554
2016	2.794126e+06	 4	 113.23966
