Year	Flux	Count_obs	Flux_per_err
1980	1083742.21	 9	16.15998
1981	 690130.28	 5	14.82846
1982	 862146.53	 6	16.59991
1983	1387532.24	 6	34.77116
1984	1268631.60	 7	12.85204
1985	 800321.43	20	18.75141
1986	 773862.22	45	24.44412
1987	 934476.18	43	15.46727
1988	 906687.03	48	14.96162
1989	1179208.92	35	21.02081
1990	 919181.81	31	16.19152
1991	 667985.09	30	15.90429
1992	 620156.35	25	17.51373
1993	 856171.43	23	21.40265
1994	 827179.83	31	25.58345
1995	 528937.71	37	19.53551
1996	1119779.53	47	10.05700
1997	 677850.16	20	17.47751
1998	 691826.42	13	13.23944
1999	 483465.26	20	18.47465
2000	 555526.84	20	12.44734
2001	 515411.16	24	11.98117
2002	 391506.29	22	16.10629
2003	1198018.78	20	10.56611
2004	 707969.85	18	12.42232
2005	 680973.66	14	15.31044
2006	 617383.60	22	19.67712
2007	 464880.61	18	12.52885
2008	 489541.85	25	13.15521
2009	 618046.01	20	14.98113
2010	 606113.70	18	21.36725
2011	 643745.64	17	 9.88440
2012	 425369.39	21	21.48057
2013	 530697.60	23	15.02744
2014	 725682.37	26	17.37945
2015	 582533.15	22	22.94447
2016	 460457.31	21	15.11627
