Year	Flux	Count_obs	Flux_per_err
1983	431992.290	 1	49.52531
1984	125378.657	 0	     NaN
1985	 28760.621	 0	     NaN
1986	133044.437	 0	     NaN
1987	 10840.826	 0	     NaN
1988	  5809.082	18	47.96276
1989	 36756.557	 3	38.57983
1990	  9565.117	 0	     NaN
1991	 10073.302	 1	64.54856
1992	  6295.154	 5	56.99200
1993	 27734.028	29	27.93544
1994	  4775.576	22	20.40178
1995	 41130.154	37	33.19048
1996	 32768.318	41	55.02696
1997	 31607.505	23	42.04481
1998	 26973.753	25	36.90566
1999	 22566.140	23	34.33602
2000	 14536.550	25	52.34993
2001	  6604.931	23	34.87396
2002	 12847.742	25	35.92997
2003	 15097.473	25	20.50629
2004	 11857.506	27	24.05327
2005	 26533.786	39	35.57948
2006	 33636.815	25	49.30191
2007	  7962.521	21	33.12949
2008	  7849.693	25	23.87470
2009	 12905.141	 0	     NaN
2010	 18846.052	 0	     NaN
2011	 29839.577	 4	39.01529
2012	 13525.027	25	27.38658
2013	  8533.022	19	23.88081
2014	  8243.902	23	34.36904
2015	  5541.626	18	38.80675
