Year	Flux	Count_obs	Flux_per_err
1980	1685752.07	10	15.001714
1981	1377476.40	 6	16.295262
1982	1906726.00	 6	 8.933910
1983	2676825.96	 6	12.850454
1984	2544265.85	 6	11.337509
1985	1658240.50	 4	24.731239
1986	2299430.65	 9	 9.738172
1987	2300133.34	13	18.479017
1988	1710521.83	15	16.253119
1989	2156302.88	13	12.864989
1990	2300304.97	14	19.434311
1991	1580093.41	15	13.344301
1992	1679639.36	15	 8.404426
1993	1559152.31	14	23.226517
1994	1622942.13	15	12.743073
1995	1349578.96	13	14.064322
1996	2346708.78	12	12.867633
1997	1467520.32	 1	34.378520
1998	1508170.96	 4	12.839860
1999	1377166.57	 4	16.568506
2000	1601856.55	 4	16.081521
2001	1202122.25	 4	11.048053
2002	 805314.44	 4	13.574198
2003	2227820.14	 4	13.186106
2004	1893321.19	 4	 8.295068
2005	1751008.36	 4	35.374617
2006	1959941.00	 4	11.486163
2007	1612569.90	 4	 7.545306
2008	1778979.30	 5	16.610330
2009	1714138.35	 5	11.433612
2010	1659645.02	 4	 4.208030
2011	2538509.53	 4	 6.496622
2012	1206717.95	 4	11.128380
2013	1525280.36	 4	18.228362
2014	1499091.32	 4	20.898401
2015	1055866.50	 4	34.641993
2016	1044900.64	 4	12.582425
