Year	Flux	Count_obs	Flux_per_err
1994	11878.694	 2	32.11805
1995	 7355.385	12	16.94693
1996	21246.498	21	50.49722
1997	12983.933	22	30.33767
1998	13073.147	 5	10.20789
1999	10384.525	 0	     NaN
2000	13904.277	 0	     NaN
2001	10783.811	 0	     NaN
2002	10902.310	 0	     NaN
2003	17770.578	 0	     NaN
2004	14553.561	 0	     NaN
2005	16489.369	 0	     NaN
2006	20783.428	 0	     NaN
2007	15382.017	 3	19.45017
2008	15871.188	15	11.85367
2009	16634.172	12	14.35164
2010	19562.035	13	12.89728
2011	23773.395	12	11.53536
2012	12840.534	12	11.09327
2013	13239.089	12	13.63635
2014	16172.965	12	10.95055
2015	12754.686	12	15.69750
2016	11447.898	12	14.94068
