Year	Flux	Count_obs	Flux_per_err
1991	3227.791	24	34.31192
1992	2212.511	32	36.48278
1993	6959.130	27	41.00857
1994	1848.393	17	33.42614
1995	9255.441	26	54.61404
1996	6807.242	31	65.31243
1997	6297.507	22	47.40179
1998	5754.739	22	35.82332
1999	4892.734	20	68.81887
2000	3646.354	17	67.02535
2001	2041.834	21	26.11063
2002	3645.924	20	38.33169
2003	3576.761	19	32.67776
2004	3129.867	18	21.52944
2005	6530.481	23	50.73053
2006	7444.827	20	68.85596
2007	2554.151	13	46.63280
2008	2368.526	21	25.18552
