Year	Flux	Count_obs	Flux_per_err
1995	108232.30	10	38.901568
1996	 93865.49	20	34.975711
1997	117684.67	15	55.562358
1998	 55451.52	13	40.126502
1999	 75491.05	15	19.230327
2000	 59782.66	15	17.625358
2001	 55252.99	11	32.361917
2002	 30190.62	 9	24.994877
2003	 60982.10	 8	28.096909
2004	 51715.54	 7	17.298380
2005	 72678.79	 6	36.017001
2006	 79899.37	 6	10.579042
2007	 51503.41	 7	39.659473
2008	100610.24	 5	28.710736
2009	103548.68	 6	11.006162
2010	 68362.02	 6	40.559185
2011	108102.80	 6	17.631842
2012	 26552.33	 6	 5.206547
2013	 46179.15	 6	72.319358
2014	 97333.76	 6	16.138773
2015	 64840.76	 6	37.216641
2016	 58651.65	 6	38.506409
