Year	Flux	Count_obs	Flux_per_err
1980	1745693.76	12	 26.320269
1981	4494186.70	11	 21.722526
1982	5398741.65	 9	 10.859373
1983	2921357.67	 9	 42.837343
1984	3135887.49	 9	 54.316847
1985	4677068.10	 9	 34.636211
1986	4547766.70	 9	 22.637059
1987	 992986.74	 9	 77.150517
1988	 416933.20	 9	 61.321549
1989	 101911.52	 9	 81.496248
1990	2800791.76	10	244.952894
1991	2210883.29	 8	 58.899932
1992	2226830.23	 7	 25.485294
1993	6569804.14	 7	 14.726631
1994	1912219.91	 9	 34.320268
1995	4712049.81	 8	 31.691531
1996	3465123.83	13	136.209054
1997	2641973.78	41	 36.668093
1998	5061636.54	31	 35.339017
1999	2845787.02	 0	       NaN
2000	1262717.91	 0	       NaN
2001	3660164.43	 0	       NaN
2002	4861696.93	 0	       NaN
2003	1499302.19	 0	       NaN
2004	2740448.55	 0	       NaN
2005	2472245.55	 0	       NaN
2006	 964372.45	 0	       NaN
2007	2105082.97	 2	  8.830036
