Year	Flux	Count_obs	Flux_per_err
1980	263586.55	10	26.983137
1981	107835.89	 7	23.445307
1982	246774.35	 4	69.409927
1983	388721.62	 6	36.541194
1984	498813.84	11	44.849008
1985	295780.14	12	61.380153
1986	191915.26	 8	24.055694
1987	349787.96	 6	26.644733
1988	207553.17	 6	37.288674
1989	344857.66	26	18.992883
1990	325204.26	51	16.463136
1991	130731.47	42	17.557470
1992	180547.07	46	14.198871
1993	387840.12	48	25.701225
1994	393633.53	35	16.329899
1995	192515.10	29	16.324149
1996	467274.46	 5	16.331780
1997	265204.22	 0	      NaN
1998	408357.06	 0	      NaN
1999	122693.86	 0	      NaN
2000	178993.61	 0	      NaN
2001	135992.49	 0	      NaN
2002	 73369.75	 0	      NaN
2003	543378.19	 0	      NaN
2004	383317.30	 3	 6.912699
2005	256203.70	15	 9.090409
2006	323236.70	26	 7.319753
2007	235242.07	16	13.004997
2008	216608.87	22	11.214615
2009	305239.53	22	12.148829
2010	307735.73	19	 7.073986
2011	362679.57	23	 9.475157
2012	188027.78	16	 7.140248
2013	252416.60	23	11.975786
2014	312232.31	17	12.865858
2015	232923.65	23	 8.167555
2016	395325.21	21	 7.347087
