Year	Flux	Count_obs	Flux_per_err
1996	1252246.08	10	 56.32915
1997	2236062.06	15	 33.49916
1998	3571185.03	13	 18.64095
1999	2932527.72	12	 32.58353
2000	 484877.85	12	 84.45044
2001	2345211.84	12	 22.46490
2002	1760617.31	10	 23.52252
2003	1406958.01	 7	 13.44914
2004	1690589.54	 0	      NaN
2005	1804607.44	 0	      NaN
2006	1840170.95	 0	      NaN
2007	6061338.15	 0	      NaN
2008	6999822.25	 0	      NaN
2009	3462827.77	12	 70.20665
2010	5049548.96	 0	      NaN
2011	2031681.04	 0	      NaN
2012	 513272.92	 2	182.04724
2013	3065253.89	25	 67.51163
2014	3729834.01	24	 37.93824
2015	3683882.35	22	 16.52680
2016	4023075.50	24	 19.10654
