Year	Flux	Count_obs	Flux_per_err
1985	3354501.69	16	20.543123
1986	5157174.54	27	15.500668
1987	4494022.47	48	16.467897
1988	4924046.32	38	21.208326
1989	5899949.45	39	20.670269
1990	4802915.74	23	18.753681
1991	3395096.74	15	14.099878
1992	3150177.38	18	16.745206
1993	6570194.74	31	23.710547
1994	6617701.51	 1	13.121105
1995	4293441.27	 0	      NaN
1996	9160106.16	 0	      NaN
1997	3935383.93	 0	      NaN
1998	5146611.37	 0	      NaN
1999	4211094.37	 0	      NaN
2000	4509012.58	 0	      NaN
2001	2693819.95	 0	      NaN
2002	2948367.38	 4	15.209928
2003	9160076.42	 7	11.035122
2004	8900297.43	 4	 8.284657
