Year	Flux	Count_obs	Flux_per_err
1991	 992.8843	20	 41.09723
1992	 612.1061	19	 35.59316
1993	2570.9366	16	 38.68462
1994	 713.3650	16	 38.91087
1995	3745.9170	15	 53.70621
1996	3021.5305	21	 63.79637
1997	3069.3249	17	 46.35648
1998	2010.9380	15	 41.75577
1999	2136.8050	14	113.84011
2000	1243.6986	14	107.64157
2001	 647.4295	13	 59.19563
2002	 934.3953	16	 40.36750
2003	1182.5150	14	 22.59417
2004	 989.9978	11	 22.76262
2005	1688.3545	11	 49.73883
2006	2645.2524	13	 62.87118
2007	 809.2074	 9	 51.33876
2008	 746.1925	15	 40.73929
