Year	Flux	Count_obs	Flux_per_err
1982	7033354.79	 1	83.72662
1983	8402354.20	 6	22.70438
1984	7175340.07	 6	34.57656
1985	4707860.17	 6	70.93245
1986	3953422.57	 6	20.58042
1987	5725605.38	 6	22.02056
1988	3726551.58	 6	13.81438
1989	4757780.77	 6	25.20435
1990	4991510.94	 6	15.28413
1991	5784732.17	 6	16.01854
1992	5336687.99	 7	37.04741
1993	5082525.08	 6	69.94452
1994	7152431.64	17	13.66867
1995	4381448.48	 0	     NaN
1996	4279543.37	 0	     NaN
1997	5122478.63	 0	     NaN
1998	6956556.26	 0	     NaN
1999	2792989.11	 0	     NaN
2000	2287307.95	 0	     NaN
2001	3631813.91	 0	     NaN
2002	2574218.72	 0	     NaN
2003	5793080.99	 0	     NaN
2004	4909252.64	 0	     NaN
2005	7416539.46	 0	     NaN
2006	3064644.94	 1	23.66036
2007	2332037.15	 6	28.19395
2008	3322652.79	12	13.13895
2009	6275117.51	12	42.24494
2010	5238553.13	12	57.44909
2011	2199417.96	12	68.83729
2012	1488925.49	12	57.08594
2013	5424109.90	12	17.51518
2014	5407429.80	12	22.91177
2015	5045430.88	12	30.64528
2016	5531143.70	12	26.19449
