Year	Flux	Count_obs	Flux_per_err
1991	254276.43	58	31.95706
1992	162872.20	78	66.69947
1993	163942.81	68	30.84999
1994	265719.77	38	37.09651
1995	482321.73	40	26.04632
1996	459040.47	38	20.47500
1997	330359.76	38	31.85049
1998	387626.47	23	23.89922
1999	434265.96	38	46.97223
2000	165115.58	39	60.89935
2001	179925.93	23	16.31028
2002	244738.86	39	52.09649
2003	232230.73	38	35.52813
2004	175772.49	39	44.55285
2005	163529.38	39	24.17226
2006	452790.00	39	52.42549
2007	236244.16	41	34.17791
2008	227309.36	37	36.22461
2009	198177.82	39	21.34011
2010	312473.25	42	22.03304
2011	255426.98	39	29.08581
2012	412225.08	 3	16.94011
2013	148133.45	 1	15.73283
