Year	Flux	Count_obs	Flux_per_err
1989	438786.16	 10	26.590063
1990	524293.39	 10	16.662609
1991	399761.73	  0	      NaN
1992	505908.13	  0	      NaN
1993	477104.68	  0	      NaN
1994	376703.43	  0	      NaN
1995	290252.90	  0	      NaN
1996	616597.85	  0	      NaN
1997	464807.25	 65	13.027513
1998	573386.01	131	10.952942
1999	290448.48	 95	31.760550
2000	428381.18	117	13.957900
2001	406081.02	107	26.555609
2002	535682.82	113	16.013187
2003	649075.89	 25	13.699366
2004	743983.32	 13	 8.119563
2005	713679.82	  9	 6.979833
2006	630974.46	  7	14.918789
2007	579620.08	  8	21.088421
2008	624791.70	 16	22.947624
2009	540675.41	 10	13.281997
2010	470479.09	  6	11.216195
2011	781249.18	  6	11.472491
2012	417191.21	  9	14.228340
2013	652182.14	 13	12.009557
2014	615943.19	  8	38.238753
2015	536083.07	  7	36.689538
2016	356072.10	  6	16.678751
