Year	Flux	Count_obs	Flux_per_err
1980	 2929395.99	11	 38.69505
1981	 2347714.34	11	 29.42106
1982	 8545987.03	 6	 87.97937
1983	 4598404.04	 4	 62.87884
1984	 1710615.13	 7	 47.51465
1985	 7622305.07	 5	 36.85027
1986	 4820839.97	 6	 70.81496
1987	13109764.52	 6	 51.12388
1988	 3759175.77	 6	 92.75402
1989	 4589394.60	 6	129.87835
1990	10620258.66	 6	 76.36821
1991	 5060594.21	 6	 39.14975
1992	 5042122.40	 4	 64.64512
1993	 8321233.11	 6	 97.32686
1994	 3939543.00	 5	 29.06784
1995	 8275087.52	 3	 36.53345
1996	 3802885.17	 3	  8.56972
1997	 5538529.02	12	 22.40951
1998	 4527368.88	12	 36.22708
1999	 2437221.94	12	 34.07474
2000	 3403538.42	12	 57.92872
2001	 4300973.44	12	 32.17799
2002	 2328272.44	12	 24.61857
2003	 1196350.33	12	164.74619
2004	 3107220.81	12	 40.17218
2005	 2363540.69	11	 19.55037
2006	  544726.84	 5	 40.52582
2007	25803196.31	 3	 32.16534
2008	 4670890.00	 0	      NaN
2009	 5267130.71	 3	 78.87825
2010	 2040496.53	 6	117.53756
2011	  492749.03	 5	 47.44314
