Year	Flux	Count_obs	Flux_per_err
1993	234127.48	23	 10.609283
1994	199555.33	14	 12.553973
1995	243616.40	 7	 11.466178
1996	255285.77	 6	346.627114
1997	295215.69	11	 18.858234
1998	256354.97	12	 11.648048
1999	271078.67	12	  8.199481
2000	228528.18	11	  8.092246
2001	159494.90	12	  7.528987
2002	166289.47	11	  7.619669
2003	147067.18	 8	 17.548691
2004	157633.06	 0	       NaN
2005	168733.39	 0	       NaN
2006	233666.57	 0	       NaN
2007	173887.65	 0	       NaN
2008	176027.53	 0	       NaN
2009	193695.86	 0	       NaN
2010	211434.73	 0	       NaN
2011	273336.29	 0	       NaN
2012	230335.46	 6	 10.005726
2013	208309.78	23	  6.705091
2014	247485.55	25	 14.000753
2015	262425.29	24	 10.703075
2016	276828.90	24	 13.616169
