Year	Flux	Count_obs	Flux_per_err
1992	1364175.41	 2	 4.028522
1993	2307307.20	13	35.970259
1994	1598410.62	12	49.556004
1995	1767594.32	 9	62.773424
1996	 876372.50	 0	      NaN
1997	1137402.46	 0	      NaN
1998	1441578.27	 5	18.256561
1999	1753908.02	12	14.442543
2000	 918440.30	12	18.976438
2001	1303011.27	11	24.828070
2002	1498071.12	11	17.695767
2003	 598121.45	12	16.863078
2004	1930372.78	14	20.437650
2005	1549208.92	15	32.935464
2006	 422649.71	15	42.628010
2007	1173634.33	12	14.114373
2008	3815667.85	12	14.132507
2009	2064770.94	18	10.626904
2010	1571723.38	12	11.468669
2011	2743416.74	12	16.587899
2012	 712616.84	11	23.510308
2013	1970055.84	11	27.556738
2014	 890532.53	12	14.781437
2015	4175344.08	10	25.894977
2016	 979184.18	 8	19.845448
