Year	Flux	Count_obs	Flux_per_err
1980	 9111769.86	12	 26.01876
1981	17008301.17	10	 31.63033
1982	46586677.94	 6	 27.79375
1983	17484512.97	 6	 30.14594
1984	28548443.41	12	 41.29165
1985	12740834.63	11	 39.72958
1986	23318589.80	12	 97.56711
1987	17766141.46	12	 49.00590
1988	 1546163.52	11	 54.57305
1989	 1663945.43	 8	 28.26478
1990	14533390.34	 4	 48.55481
1991	14263053.61	 4	 37.00212
1992	19750034.04	 4	 45.64432
1993	45903134.16	12	 90.82779
1994	 4722058.81	11	 81.17748
1995	22504963.71	12	 34.64377
1996	18040487.21	11	 63.05559
1997	12575463.66	 9	 24.70909
1998	24179214.94	 2	 36.03588
1999	14553759.86	11	118.82872
2000	 1462012.55	12	 33.84517
2001	24981204.00	12	 80.61674
2002	 7627515.39	12	 51.45737
2003	 1051740.34	12	 54.98053
2004	30681731.51	12	 41.67000
2005	 7715582.08	12	 57.08224
2006	 1746126.88	12	 36.09904
2007	20432115.48	12	 43.32464
2008	46538923.10	12	 44.01812
2009	35902076.87	12	 44.84911
2010	47418801.36	12	 39.36039
2011	12428354.06	12	 59.62753
2012	 5961963.64	12	 36.91363
2013	17241212.95	12	 33.86537
2014	13132544.91	12	 24.02878
2015	27111372.83	12	 57.34728
