Year	Flux	Count_obs	Flux_per_err
1995	 3870.604	 2	12.709903
1996	61587.528	18	48.823394
1997	59640.398	26	54.318860
1998	36779.055	15	61.069830
1999	40750.502	13	35.934327
2000	49221.893	14	19.714793
2001	43450.335	14	19.923179
2002	31819.864	12	14.423898
2003	53883.926	12	29.626916
2004	40176.473	12	24.414435
2005	50497.765	12	23.645638
2006	59398.642	11	14.316194
2007	48299.144	 9	34.134964
2008	57176.174	 9	14.810511
2009	62378.956	 6	17.037415
2010	52374.795	 6	24.408583
2011	74157.729	 7	13.473272
2012	32787.492	 6	29.670988
2013	43547.954	 6	23.562957
2014	58640.474	 6	 9.647372
2015	49363.152	 6	28.454054
2016	48659.908	 6	21.787060
