Year	Flux	Count_obs	Flux_per_err
1991	397078.55	 3	13.500454
1992	376947.14	 9	20.998588
1993	382206.49	14	 7.084623
1994	409200.57	18	30.716850
1995	344027.19	12	12.302585
1996	455361.73	 8	15.428094
1997	345619.43	 8	 7.678347
1998	364046.30	 8	22.249930
1999	339450.07	 8	 8.224207
2000	326710.70	 8	 9.470771
2001	281676.43	 8	13.651773
2002	261316.89	 8	20.208178
2003	380707.62	 8	12.213612
2004	337377.10	 8	 9.209739
2005	395296.40	 8	13.105722
2006	390573.53	 9	11.545713
2007	297534.36	11	10.771225
2008	376894.21	 8	14.268019
2009	352460.49	 8	16.132935
2010	305438.14	 8	10.094966
2011	436800.15	 9	 9.639738
2012	273476.92	 8	15.082913
2013	312454.72	 9	12.424264
2014	282729.19	 8	14.322316
2015	239906.21	 8	16.566798
2016	207430.38	 8	15.834951
