Year	Flux	Count_obs	Flux_per_err
1980	1634670.51	10	55.075322
1981	 536858.33	 7	13.401067
1982	1581972.56	 5	37.627267
1983	2821787.57	 6	44.313386
1984	3169976.38	10	64.292257
1985	2036119.22	12	23.277756
1986	 871385.82	 8	34.744591
1987	1945563.98	 7	22.955287
1988	 987729.76	15	36.158561
1989	2109708.16	58	27.351518
1990	1975543.38	42	42.839544
1991	1147998.50	36	35.329955
1992	1977082.48	47	37.886584
1993	2793786.79	30	37.909423
1994	2335983.26	21	60.430819
1995	2047846.76	37	30.490576
1996	3978830.17	 2	 7.369955
1997	1254822.86	 0	      NaN
1998	3250333.02	 0	      NaN
1999	 850489.17	 0	      NaN
2000	 710699.83	 0	      NaN
2001	 987099.36	 0	      NaN
2002	 625835.37	 0	      NaN
2003	5230094.16	 0	      NaN
2004	2241707.65	 2	17.678955
2005	2245523.75	18	33.089354
2006	1567011.86	18	18.736257
2007	1007559.61	19	28.059138
2008	1346210.17	21	24.771652
2009	1692366.92	22	19.523559
2010	1874264.58	22	48.072676
2011	2573572.10	20	31.706158
2012	 966642.29	20	40.475355
2013	2352348.72	17	31.849356
2014	2516828.61	20	25.918007
2015	1539685.14	22	15.298735
2016	1474280.98	19	27.435142
