Year	Flux	Count_obs	Flux_per_err
1980	2675668.66	12	25.726417
1981	1602880.05	11	16.678226
1982	3582498.14	 6	23.220256
1983	3918082.67	 6	13.118616
1984	4550781.92	 6	11.316768
1985	2381251.29	 6	21.374948
1986	1539305.86	 6	11.417511
1987	3386367.99	 6	22.863990
1988	1993457.65	 6	12.449098
1989	5219443.18	 5	12.801915
1990	3058466.90	 5	19.155703
1991	2675156.59	 5	21.591499
1992	2909783.41	 3	11.568905
1993	3180679.64	11	20.409184
1994	2242561.17	14	14.017996
1995	3681391.79	 6	18.082318
1996	4375090.96	 6	46.988345
1997	2444466.04	11	11.880165
1998	3804146.03	12	16.439352
1999	4057782.35	13	 8.838671
2000	2682632.13	12	12.845080
2001	1788511.00	12	14.852862
2002	1632105.30	18	14.506371
2003	3904725.99	14	14.065311
2004	2361221.06	 0	      NaN
2005	1962719.88	 0	      NaN
2006	2543980.49	 0	      NaN
2007	1712675.49	 0	      NaN
2008	1909621.79	 0	      NaN
2009	2452075.87	 7	 7.005068
2010	2702560.08	 9	12.431974
2011	1204490.00	 0	      NaN
2012	1253756.33	 4	14.282231
2013	2696602.31	18	10.500820
2014	3558477.10	18	10.101175
2015	3585606.90	17	12.599088
2016	4225494.35	18	12.729472
