Year	Flux	Count_obs	Flux_per_err
1993	130543.28	 9	38.67992
1994	137078.35	20	47.37249
1995	 74413.86	24	37.57964
1996	214842.79	 4	21.87998
1997	 99162.07	 9	34.43372
1998	133935.66	12	41.90949
1999	 63721.20	12	25.98945
2000	230258.18	12	19.46198
2001	102806.09	11	24.20632
2002	122180.33	 9	13.06807
2003	200386.58	 7	18.70276
2004	126726.63	 0	     NaN
2005	137987.61	 0	     NaN
2006	198309.01	 0	     NaN
2007	151657.38	 0	     NaN
2008	165227.35	 0	     NaN
2009	109846.98	 0	     NaN
2010	146695.98	 0	     NaN
2011	235159.40	 0	     NaN
2012	 76463.58	 2	38.33546
2013	120527.49	18	26.73256
2014	105734.49	13	25.65360
2015	 61344.22	21	16.07237
2016	 56492.16	24	97.27578
