Year	Flux	Count_obs	Flux_per_err
1991	 351.9137	22	 73.03690
1992	 233.9813	25	 42.54973
1993	1355.5572	25	 73.82307
1994	 479.4857	25	126.52145
1995	1864.7773	27	 55.91257
1996	1550.5762	28	 71.07003
1997	1657.6455	21	113.23248
1998	1040.5344	25	 43.22379
1999	1043.8646	21	128.02066
2000	 628.3843	14	117.22575
2001	 252.7689	19	 55.93434
2002	 465.6211	17	 39.43795
2003	 439.0991	18	 27.07177
2004	 550.4212	19	 33.22089
2005	 847.1147	22	 29.67809
2006	1665.5290	22	 60.58933
2007	 308.7853	14	 59.24868
2008	 298.2983	20	 28.27424
