Year	Flux	Count_obs	Flux_per_err
1981	 29960.93	14	46.63189
1982	 41182.56	 2	22.03976
1983	 26488.13	 5	64.16194
1984	 40522.46	 7	27.20857
1985	 55577.85	 7	18.81065
1986	 44168.95	 7	32.48270
1987	 22972.08	 9	67.42241
1988	 20549.71	 8	65.28482
1989	 30975.30	 3	92.89763
1990	 29714.83	 6	72.95509
1991	 34539.31	 3	47.13741
1992	 29813.79	 0	     NaN
1993	 95985.78	 0	     NaN
1994	 60459.91	 0	     NaN
1995	 43425.07	 0	     NaN
1996	 82287.61	 0	     NaN
1997	117347.26	 0	     NaN
1998	 57245.86	 0	     NaN
1999	 59591.14	 0	     NaN
2000	 48978.60	 0	     NaN
2001	 58929.86	 0	     NaN
2002	 34542.41	 0	     NaN
2003	 33281.10	 0	     NaN
2004	 45782.00	 0	     NaN
2005	 31734.30	 0	     NaN
2006	 27372.29	 0	     NaN
2007	 32105.48	 0	     NaN
2008	 43008.65	 0	     NaN
2009	 37245.74	 5	15.99082
2010	 22884.11	58	18.79830
2011	 24197.36	38	20.37454
2012	 10064.98	23	75.17248
2013	 31318.09	58	29.29697
2014	 20711.10	60	23.43185
2015	 16938.12	67	30.23999
2016	 23324.00	 5	25.90414
