Year	Flux	Count_obs	Flux_per_err
1992	58716.26	 1	 3.755274
1993	47829.28	31	54.853185
1994	58699.26	15	49.751814
1995	71218.87	 8	44.626382
1996	62628.59	15	61.823961
1997	77311.57	14	52.455932
1998	75877.10	 7	35.194400
1999	25346.62	10	30.848122
2000	37569.29	12	46.558876
2001	44026.93	14	24.953138
2002	56843.34	23	20.095718
2003	72606.72	16	 9.262687
2004	82722.98	 0	      NaN
2005	73491.48	 0	      NaN
2006	27827.15	 0	      NaN
2007	14810.62	 0	      NaN
2008	20437.23	 0	      NaN
2009	84403.75	 6	21.271481
2010	37890.82	12	15.507806
2011	31030.68	 0	      NaN
2012	18831.07	 6	43.210653
2013	52769.11	24	16.871985
2014	32465.05	23	 8.815363
2015	35847.63	24	12.856925
2016	23832.77	23	16.909279
