Year	Flux	Count_obs	Flux_per_err
1983	12612.2020	 1	 67.83348
1984	 7996.4956	 0	      NaN
1985	 4257.4625	 0	      NaN
1986	13799.9810	 0	      NaN
1987	 1621.5878	 7	102.61695
1988	  637.8812	32	126.38703
1989	 3366.0329	32	156.69265
1990	 1292.6893	29	107.50205
1991	 1741.1004	34	 98.42377
1992	  941.1584	38	 76.76011
1993	 4314.6624	36	151.86879
1994	 1052.7620	27	116.05128
1995	 5499.9498	44	 91.27161
1996	 4240.8879	42	289.81651
1997	 4170.5191	29	180.16440
1998	 2943.6133	31	102.30962
1999	 2657.3340	28	113.28844
2000	 1764.2688	21	107.56171
2001	  550.0165	23	117.61180
2002	 1064.9989	26	123.43231
2003	 1105.2840	24	 40.05322
2004	  885.5947	22	 53.88653
2005	 1659.3092	29	 76.50239
2006	 2716.5277	25	 89.79774
2007	  390.7762	15	 42.11777
2008	  561.3487	24	 44.42096
2009	  584.0887	 0	      NaN
2010	 1053.2736	 0	      NaN
2011	 1604.8729	 3	452.39156
2012	  664.6876	22	 74.55723
2013	  440.9532	20	 57.62394
2014	  216.9395	18	 33.71030
2015	  291.8919	17	 70.24200
2016	 1293.7340	16	 68.12685
