HUC8,UNCLASSIFIED,OPEN_WATER,PERENNIAL_SNOW_I,DEVELOPED__OPEN_,DEVELOPED__LOW_I,DEVELOPED__MEDIU,DEVELOPED__HIGH_,BARREN_LAND,DECIDUOUS_FOREST,EVERGREEN_FOREST,MIXED_FOREST,SHRUB_SCRUB,HERBACEUOUS,HAY_PASTURE,CULTIVATED_CROPS,WOODY_WETLANDS,EMERGENT_HERBACE,TOTAL,AREA_INSIDE_US,UNCLASSIFIED_NLCD06,DEVNLCD06,FORESTNLCD06,PLANTNLCD06,WATERNLCD06,SNOWICENLCD06,DEVOPENNLCD06,DEVLOWNLCD06,DEVMEDNLCD06,DEVHINLCD06,BARRENNLCD06,DECIDNLCD06,EVERGRNLCD06,MIXEDFORNLCD06,SHRUBNLCD06,GRASSNLCD06,PASTURENLCD06,CROPSNLCD06,WOODYWETNLCD06,EMERGWETNLCD06,Location
10130205,0.00,11959200.00,0.00,130530600.00,6223500.00,435600.00,74700.00,2158200.00,6545700.00,809100.00,233100.00,8889300.00,1963125900.00,691737300.00,1766673000.00,33551100.00,3231900.00,4626178200.00,4626178200.00,0.00,2.97,0.16,53.14,0.26,0.00,2.82,0.13,0.01,0.00,0.05,0.14,0.02,0.01,0.19,42.44,14.95,38.19,0.73,0.07,Within USA
10120108,0.00,5196600.00,0.00,4561200.00,1337400.00,57600.00,0.00,32218200.00,1412100.00,92550600.00,1856700.00,218148300.00,2076899400.00,5525100.00,27610200.00,15300900.00,24869700.00,2507544000.00,2507544000.00,0.00,0.24,3.82,1.32,0.21,0.00,0.18,0.05,0.00,0.00,1.28,0.06,3.69,0.07,8.70,82.83,0.22,1.10,0.61,0.99,Within USA
10150003,0.00,102734100.00,0.00,155390400.00,56372400.00,7200900.00,2487600.00,7800300.00,5022900.00,19204200.00,1762200.00,14735700.00,8087023800.00,96761700.00,1877634000.00,17044200.00,302094000.00,10753268400.00,10753268400.00,0.00,2.06,0.24,18.36,0.96,0.00,1.45,0.52,0.07,0.02,0.07,0.05,0.18,0.02,0.14,75.21,0.90,17.46,0.16,2.81,Within USA
10150005,0.00,27696600.00,0.00,4221000.00,610200.00,17100.00,18900.00,723600.00,2642400.00,5321700.00,4329900.00,490500.00,2083626900.00,611100.00,4450500.00,9102600.00,87930900.00,2231793900.00,2231793900.00,0.00,0.22,0.55,0.23,1.24,0.00,0.19,0.03,0.00,0.00,0.03,0.12,0.24,0.19,0.02,93.36,0.03,0.20,0.41,3.94,Within USA
10150007,0.00,38232000.00,0.00,134633700.00,3891600.00,528300.00,104400.00,1642500.00,122516100.00,18589500.00,13500.00,82800.00,2276970300.00,70812000.00,1095948900.00,67626000.00,32367600.00,3863959200.00,3863959200.00,0.00,3.60,3.65,30.20,0.99,0.00,3.48,0.10,0.01,0.00,0.04,3.17,0.48,0.00,0.00,58.93,1.83,28.36,1.75,0.84,Within USA
10180013,0.00,181800.00,0.00,58149000.00,1979100.00,308700.00,9900.00,2424600.00,1434600.00,34758900.00,27900.00,1365300.00,1849290300.00,29882700.00,676047600.00,3543300.00,4187700.00,2663591400.00,2663591400.00,0.00,2.27,1.36,26.50,0.01,0.00,2.18,0.07,0.01,0.00,0.09,0.05,1.30,0.00,0.05,69.43,1.12,25.38,0.13,0.16,Within USA
10180014,0.00,94258800.00,0.00,55681200.00,22068900.00,7195500.00,2513700.00,12106800.00,3745800.00,3344400.00,290700.00,1943100.00,4700503800.00,34247700.00,570136500.00,74009700.00,102790800.00,5684837400.00,5684837400.00,0.00,1.54,0.13,10.63,1.66,0.00,0.98,0.39,0.13,0.04,0.21,0.07,0.06,0.01,0.03,82.68,0.60,10.03,1.30,1.81,Within USA
10200101,0.00,81999000.00,0.00,254310300.00,75692700.00,18621000.00,4677300.00,4521600.00,16732800.00,9750600.00,24471900.00,17843400.00,4295710800.00,24398100.00,3450839400.00,290760300.00,80597700.00,8650926900.00,8650926900.00,0.00,4.08,0.59,40.17,0.95,0.00,2.94,0.87,0.22,0.05,0.05,0.19,0.11,0.28,0.21,49.66,0.28,39.89,3.36,0.93,Within USA
10200102,0.00,4662900.00,0.00,78933600.00,32996700.00,15237000.00,4731300.00,807300.00,15430500.00,150300.00,506700.00,570600.00,835217100.00,9166500.00,848877300.00,32924700.00,11356200.00,1891568700.00,1891568700.00,0.00,6.97,0.85,45.36,0.25,0.00,4.17,1.74,0.81,0.25,0.04,0.82,0.01,0.03,0.03,44.15,0.48,44.88,1.74,0.60,Within USA
10200103,0.00,41914800.00,0.00,120816000.00,38463300.00,14169600.00,3806100.00,807300.00,26397000.00,110700.00,44100.00,307800.00,556066800.00,45217800.00,1875603600.00,109100700.00,21602700.00,2854428300.00,2854428300.00,0.00,6.21,0.93,67.29,1.47,0.00,4.23,1.35,0.50,0.13,0.03,0.92,0.00,0.00,0.01,19.48,1.58,65.71,3.82,0.76,Within USA
