HUC8,UNCLASSIFIED,OPEN_WATER,PERENNIAL_SNOW_I,DEVELOPED__OPEN_,DEVELOPED__LOW_I,DEVELOPED__MEDIU,DEVELOPED__HIGH_,BARREN_LAND,DECIDUOUS_FOREST,EVERGREEN_FOREST,MIXED_FOREST,SHRUB_SCRUB,HERBACEUOUS,HAY_PASTURE,CULTIVATED_CROPS,WOODY_WETLANDS,EMERGENT_HERBACE,TOTAL,AREA_INSIDE_US,UNCLASSIFIED_NLCD06,DEVNLCD06,FORESTNLCD06,PLANTNLCD06,WATERNLCD06,SNOWICENLCD06,DEVOPENNLCD06,DEVLOWNLCD06,DEVMEDNLCD06,DEVHINLCD06,BARRENNLCD06,DECIDNLCD06,EVERGRNLCD06,MIXEDFORNLCD06,SHRUBNLCD06,GRASSNLCD06,PASTURENLCD06,CROPSNLCD06,WOODYWETNLCD06,EMERGWETNLCD06,Location
11060006,0.00,148966200.00,0.00,257565600.00,28747800.00,9865800.00,2368800.00,8303400.00,685883700.00,13680000.00,0.00,13220100.00,2792721600.00,194250600.00,1307381400.00,45248400.00,23356800.00,5531560200.00,5531560200.00,0.00,5.40,12.65,27.15,2.69,0.00,4.66,0.52,0.18,0.04,0.15,12.40,0.25,0.00,0.24,50.49,3.51,23.63,0.82,0.42,Within USA
11070105,0.00,35860500.00,0.00,147467700.00,38211300.00,20583000.00,7514100.00,516600.00,401823000.00,3385800.00,0.00,78300.00,406146600.00,654139800.00,132274800.00,134100.00,1478700.00,1849614300.00,1849614300.00,0.00,11.56,21.91,42.52,1.94,0.00,7.97,2.07,1.11,0.41,0.03,21.72,0.18,0.00,0.00,21.96,35.37,7.15,0.01,0.08,Within USA
11070107,0.00,62806500.00,0.00,189661500.00,102762900.00,51109200.00,37154700.00,1156500.00,855828000.00,1123200.00,0.00,0.00,1329857100.00,280431900.00,33382800.00,8100.00,673200.00,2945955600.00,2945955600.00,0.00,12.92,29.09,10.65,2.13,0.00,6.44,3.49,1.73,1.26,0.04,29.05,0.04,0.00,0.00,45.14,9.52,1.13,0.00,0.02,Within USA
11070209,0.00,162460800.00,0.00,278487900.00,38623500.00,18265500.00,7031700.00,3624300.00,1806653700.00,34820100.00,4968900.00,14314500.00,497324700.00,2758326300.00,119060100.00,19343700.00,1359900.00,5764665600.00,5764665600.00,0.00,5.94,32.03,49.91,2.82,0.00,4.83,0.67,0.32,0.12,0.06,31.34,0.60,0.09,0.25,8.63,47.85,2.07,0.34,0.02,Within USA
14070007,0.00,169200.00,0.00,12463200.00,4357800.00,345600.00,0.00,390393900.00,15227100.00,795852000.00,1600200.00,2173986000.00,263111400.00,15560100.00,150300.00,2754000.00,0.00,3675970800.00,3675970800.00,0.00,0.47,22.11,0.43,0.00,0.00,0.34,0.12,0.01,0.00,10.62,0.41,21.65,0.04,59.14,7.16,0.42,0.00,0.07,0.00,Within USA
14080201,0.00,7245900.00,0.00,42417000.00,5802300.00,475200.00,5400.00,380887200.00,115727400.00,771318000.00,2389500.00,3096998100.00,628908300.00,30433500.00,29954700.00,52776000.00,121500.00,5165460000.00,5165460000.00,0.00,0.94,17.22,1.17,0.14,0.00,0.82,0.11,0.01,0.00,7.37,2.24,14.93,0.05,59.96,12.18,0.59,0.58,1.02,0.00,Within USA
14080205,0.00,46411200.00,0.00,16416900.00,385200.00,15300.00,0.00,892260900.00,4015800.00,329215500.00,34200.00,3402859500.00,1598930100.00,1909800.00,438300.00,24963300.00,90900.00,6317946900.00,6317946900.00,0.00,0.27,5.27,0.04,0.73,0.00,0.26,0.01,0.00,0.00,14.12,0.06,5.21,0.00,53.86,25.31,0.03,0.01,0.40,0.00,Within USA
15010003,0.00,317700.00,0.00,21525300.00,7575300.00,765900.00,43200.00,205474500.00,38232900.00,1642222800.00,1433700.00,3631765500.00,543119400.00,16108200.00,4003200.00,8610300.00,96300.00,6121294200.00,6121294200.00,0.00,0.49,27.48,0.33,0.01,0.00,0.35,0.12,0.01,0.00,3.36,0.62,26.83,0.02,59.33,8.87,0.26,0.07,0.14,0.00,Within USA
15030102,0.00,32400.00,0.00,9083700.00,7002000.00,283500.00,12600.00,5221800.00,0.00,10467900.00,91800.00,2607790500.00,20720700.00,0.00,0.00,125100.00,20700.00,2660852700.00,2660852700.00,0.00,0.62,0.40,0.00,0.00,0.00,0.34,0.26,0.01,0.00,0.20,0.00,0.39,0.00,98.01,0.78,0.00,0.00,0.00,0.00,Within USA
16050101,0.00,510029100.00,0.00,29522700.00,37891800.00,4812300.00,1497600.00,18423900.00,185400.00,493086600.00,0.00,203590800.00,9348300.00,0.00,0.00,78300.00,4261500.00,1312728300.00,1312728300.00,0.00,5.62,37.58,0.00,38.85,0.00,2.25,2.89,0.37,0.11,1.40,0.01,37.56,0.00,15.51,0.71,0.00,0.00,0.01,0.32,Within USA
18010101,7722900.00,484039800.00,0.00,78562800.00,9435600.00,7145100.00,1791000.00,7532100.00,37448100.00,1356010200.00,159310800.00,295908300.00,40467600.00,23804100.00,6834600.00,13460400.00,10300500.00,2539773900.00,2539773900.00,0.30,3.82,61.14,1.21,19.06,0.00,3.09,0.37,0.28,0.07,0.30,1.47,53.39,6.27,11.65,1.59,0.94,0.27,0.53,0.41,Within USA
18010102,16379100.00,771798600.00,0.00,93288600.00,22974300.00,23001300.00,2043900.00,22626900.00,152849700.00,1798275600.00,245843100.00,310006800.00,134927100.00,59618700.00,797400.00,12559500.00,17311500.00,3684302100.00,3684302100.00,0.44,3.84,59.63,1.64,20.95,0.00,2.53,0.62,0.62,0.06,0.61,4.15,48.81,6.67,8.41,3.66,1.62,0.02,0.34,0.47,Within USA
18010103,0.00,9532800.00,0.00,65513700.00,2280600.00,854100.00,344700.00,3061800.00,51428700.00,791947800.00,172942200.00,597515400.00,123544800.00,15144300.00,0.00,1422900.00,970200.00,1836504000.00,1836504000.00,0.00,3.76,55.34,0.82,0.52,0.00,3.57,0.12,0.05,0.02,0.17,2.80,43.12,9.42,32.54,6.73,0.82,0.00,0.08,0.05,Within USA
18010104,0.00,5876100.00,0.00,56309400.00,487800.00,179100.00,54900.00,5046300.00,77049900.00,779449500.00,130809600.00,726905700.00,131180400.00,36627300.00,180000.00,1195200.00,20700.00,1951371900.00,1951371900.00,0.00,2.92,50.60,1.89,0.30,0.00,2.89,0.02,0.01,0.00,0.26,3.95,39.94,6.70,37.25,6.72,1.88,0.01,0.06,0.00,Within USA
18010105,0.00,28330200.00,0.00,97438500.00,9121500.00,6438600.00,424800.00,27802800.00,282930300.00,1788038100.00,304830900.00,799168500.00,486322200.00,103600800.00,4393800.00,13523400.00,10505700.00,3962870100.00,3962870100.00,0.00,2.86,59.95,2.73,0.71,0.00,2.46,0.23,0.16,0.01,0.70,7.14,45.12,7.69,20.17,12.27,2.61,0.11,0.34,0.27,Within USA
18010106,0.00,7186500.00,0.00,77419800.00,2718900.00,782100.00,121500.00,5947200.00,78549300.00,1199185200.00,76589100.00,196342200.00,135150300.00,738900.00,261000.00,3240900.00,833400.00,1785066300.00,1785066300.00,0.00,4.54,75.87,0.06,0.40,0.00,4.34,0.15,0.04,0.01,0.33,4.40,67.18,4.29,11.00,7.57,0.04,0.01,0.18,0.05,Within USA
18010107,84840300.00,560255400.00,0.00,24921000.00,1343700.00,647100.00,25200.00,10485900.00,50287500.00,763416900.00,80516700.00,186871500.00,164828700.00,0.00,0.00,3633300.00,3672900.00,1935746100.00,1935746100.00,4.38,1.39,46.20,0.00,28.94,0.00,1.29,0.07,0.03,0.00,0.54,2.60,39.44,4.16,9.65,8.51,0.00,0.00,0.19,0.19,Within USA
18010108,15690600.00,889762500.00,0.00,182940300.00,9108000.00,6340500.00,752400.00,5963400.00,56430900.00,2360106900.00,116466300.00,263328300.00,184997700.00,2058300.00,10240200.00,28672200.00,17662500.00,4150521000.00,4150521000.00,0.38,4.80,61.03,0.30,21.44,0.00,4.41,0.22,0.15,0.02,0.14,1.36,56.86,2.81,6.34,4.46,0.05,0.25,0.69,0.43,Within USA
18010109,5552100.00,406093500.00,0.00,30744000.00,3233700.00,1853100.00,1375200.00,2692800.00,24931800.00,577489500.00,74251800.00,167618700.00,125668800.00,2564100.00,0.00,4383000.00,7605900.00,1436058000.00,1436058000.00,0.39,2.59,47.12,0.18,28.28,0.00,2.14,0.23,0.13,0.10,0.19,1.74,40.21,5.17,11.67,8.75,0.18,0.00,0.31,0.53,Within USA
18010110,0.00,29087100.00,0.00,223871400.00,87427800.00,73073700.00,10674000.00,6768900.00,93889800.00,937372500.00,426272400.00,1046709000.00,634720500.00,28626300.00,235762200.00,10048500.00,1659600.00,3845963700.00,3845963700.00,0.00,10.27,37.90,6.87,0.76,0.00,5.82,2.27,1.90,0.28,0.18,2.44,24.37,11.08,27.22,16.50,0.74,6.13,0.26,0.04,Within USA
18010205,0.00,9296100.00,0.00,18206100.00,5928300.00,772200.00,88200.00,13459500.00,143100.00,853585200.00,215100.00,290735100.00,194871600.00,66757500.00,108917100.00,254700.00,9175500.00,1572405300.00,1572405300.00,0.00,1.59,54.31,11.17,0.59,0.00,1.16,0.38,0.05,0.01,0.86,0.01,54.29,0.01,18.49,12.39,4.25,6.93,0.02,0.58,Within USA
18010207,0.00,7504200.00,1585800.00,39030300.00,28980900.00,7447500.00,915300.00,69891300.00,6228000.00,737175600.00,2568600.00,477677700.00,367473600.00,88445700.00,216396000.00,139500.00,5061600.00,2056521600.00,2056521600.00,0.00,3.71,36.27,14.82,0.36,0.08,1.90,1.41,0.36,0.04,3.40,0.30,35.85,0.12,23.23,17.87,4.30,10.52,0.01,0.25,Within USA
18010208,0.00,6093900.00,135000.00,66589200.00,2721600.00,666000.00,144900.00,15572700.00,12312000.00,982800900.00,51496200.00,682454700.00,145242900.00,10475100.00,111376800.00,11029500.00,9549000.00,2108660400.00,2108660400.00,0.00,3.33,49.63,5.78,0.29,0.01,3.16,0.13,0.03,0.01,0.74,0.58,46.61,2.44,32.36,6.89,0.50,5.28,0.52,0.45,Within USA
18010209,0.00,16616700.00,0.00,105822900.00,3293100.00,1271700.00,374400.00,9601200.00,93410100.00,3007722600.00,282392100.00,402846300.00,31547700.00,1985400.00,450000.00,7673400.00,1467900.00,3966475500.00,3966475500.00,0.00,2.79,85.30,0.06,0.42,0.00,2.67,0.08,0.03,0.01,0.24,2.35,75.83,7.12,10.16,0.80,0.05,0.01,0.19,0.04,Within USA
18010210,0.00,2893500.00,3455100.00,26190000.00,92700.00,98100.00,13500.00,5805900.00,30660300.00,1478412900.00,79624800.00,290123100.00,24831000.00,0.00,0.00,3193200.00,441000.00,1945835100.00,1945835100.00,0.00,1.36,81.65,0.00,0.15,0.18,1.35,0.00,0.01,0.00,0.30,1.58,75.98,4.09,14.91,1.28,0.00,0.00,0.16,0.02,Within USA
18010211,0.00,69232500.00,13674600.00,120211200.00,7598700.00,1720800.00,509400.00,40356000.00,104782500.00,3609084600.00,176238000.00,1030938300.00,90949500.00,2316600.00,0.00,8034300.00,2033100.00,5277680100.00,5277680100.00,0.00,2.46,73.71,0.04,1.31,0.26,2.28,0.14,0.03,0.01,0.76,1.99,68.38,3.34,19.53,1.72,0.04,0.00,0.15,0.04,Within USA
18010212,0.00,4890600.00,0.00,83909700.00,1081800.00,299700.00,60300.00,3005100.00,49359600.00,1634173200.00,76015800.00,517129200.00,43120800.00,242100.00,681300.00,199800.00,0.00,2414169000.00,2414169000.00,0.00,3.54,72.88,0.04,0.20,0.00,3.48,0.04,0.01,0.00,0.12,2.04,67.69,3.15,21.42,1.79,0.01,0.03,0.01,0.00,Within USA
18020002,0.00,84191400.00,0.00,58732200.00,5456700.00,1120500.00,77400.00,91606500.00,794700.00,2493337500.00,298800.00,2322405000.00,1320904800.00,284548500.00,207117900.00,4855500.00,68849100.00,6944296500.00,6944296500.00,0.00,0.94,35.92,7.08,1.21,0.00,0.85,0.08,0.02,0.00,1.32,0.01,35.90,0.00,33.44,19.02,4.10,2.98,0.07,0.99,Within USA
18020003,0.00,101140200.00,0.00,63270000.00,3744000.00,815400.00,332100.00,170582400.00,36066600.00,4518865800.00,23934600.00,1384196400.00,289934100.00,84303000.00,136348200.00,461700.00,18013500.00,6832008000.00,6832008000.00,0.00,1.00,67.02,3.23,1.48,0.00,0.93,0.05,0.01,0.00,2.50,0.53,66.14,0.35,20.26,4.24,1.23,2.00,0.01,0.26,Within USA
18020004,0.00,19814400.00,5019300.00,11589300.00,1836900.00,340200.00,52200.00,35358300.00,7330500.00,1443915900.00,16254000.00,191424600.00,27947700.00,1107000.00,1186200.00,12600.00,151200.00,1763340300.00,1763340300.00,0.00,0.78,83.22,0.13,1.12,0.28,0.66,0.10,0.02,0.00,2.01,0.42,81.89,0.92,10.86,1.58,0.06,0.07,0.00,0.01,Within USA
18020005,0.00,50045400.00,874800.00,27316800.00,11895300.00,3935700.00,343800.00,26207100.00,24513300.00,1039439700.00,36792900.00,267780600.00,39724200.00,2719800.00,1188000.00,269100.00,323100.00,1533369600.00,1533369600.00,0.00,2.84,71.79,0.25,3.26,0.06,1.78,0.78,0.26,0.02,1.71,1.60,67.79,2.40,17.46,2.59,0.18,0.08,0.02,0.02,Within USA
18020104,0.00,31801500.00,0.00,136386000.00,51471900.00,24622200.00,4537800.00,29979900.00,2151000.00,1400400.00,4297500.00,419556600.00,1267842600.00,113147100.00,2624304600.00,29885400.00,138510900.00,4879895400.00,4879895400.00,0.00,4.45,0.16,56.10,0.65,0.00,2.79,1.05,0.50,0.09,0.61,0.04,0.03,0.09,8.60,25.98,2.32,53.78,0.61,2.84,Within USA
18020111,0.00,6755400.00,0.00,159476400.00,129180600.00,160668900.00,38809800.00,10706400.00,21311100.00,14926500.00,1307700.00,3191400.00,154464300.00,16871400.00,24560100.00,6707700.00,8684100.00,757621800.00,757621800.00,0.00,64.43,4.96,5.47,0.89,0.00,21.05,17.05,21.21,5.12,1.41,2.81,1.97,0.17,0.42,20.39,2.23,3.24,0.89,1.15,Within USA
18020115,0.00,26511300.00,0.00,57671100.00,2043000.00,1204200.00,487800.00,20382300.00,39856500.00,403290000.00,77925600.00,799957800.00,542480400.00,15206400.00,13647600.00,8621100.00,2664900.00,2011950000.00,2011950000.00,0.00,3.05,25.90,1.43,1.32,0.00,2.87,0.10,0.06,0.02,1.01,1.98,20.04,3.87,39.76,26.96,0.76,0.68,0.43,0.13,Within USA
18020116,0.00,172805400.00,0.00,130862700.00,25228800.00,13730400.00,6196500.00,21258900.00,28185300.00,279955800.00,218120400.00,1459337400.00,415385100.00,17713800.00,206406900.00,8644500.00,13628700.00,3017460600.00,3017460600.00,0.00,5.83,17.44,7.43,5.73,0.00,4.34,0.84,0.46,0.21,0.70,0.93,9.28,7.23,48.36,13.77,0.59,6.84,0.29,0.45,Within USA
18020121,0.00,174841200.00,0.00,37240200.00,6463800.00,2331000.00,1345500.00,8131500.00,20555100.00,2384138700.00,7179300.00,419332500.00,47889000.00,0.00,0.00,320400.00,27991800.00,3137760000.00,3137760000.00,0.00,1.51,76.87,0.00,5.57,0.00,1.19,0.21,0.07,0.04,0.26,0.66,75.98,0.23,13.36,1.53,0.00,0.00,0.01,0.89,Within USA
18020122,0.00,4725000.00,0.00,19833300.00,4455900.00,1321200.00,416700.00,1435500.00,1845900.00,1885094100.00,2442600.00,621229500.00,78787800.00,27182700.00,2314800.00,433800.00,9954900.00,2661473700.00,2661473700.00,0.00,0.98,70.99,1.11,0.18,0.00,0.75,0.17,0.05,0.02,0.05,0.07,70.83,0.09,23.34,2.96,1.02,0.09,0.02,0.37,Within USA
18020123,0.00,60264900.00,0.00,34947900.00,9099900.00,1183500.00,279000.00,1357200.00,18542700.00,2131507800.00,12181500.00,903841200.00,294335100.00,30601800.00,6185700.00,0.00,30409200.00,3534737400.00,3534737400.00,0.00,1.29,61.17,1.04,1.70,0.00,0.99,0.26,0.03,0.01,0.04,0.52,60.30,0.34,25.57,8.33,0.87,0.17,0.00,0.86,Within USA
18020125,0.00,47866500.00,0.00,55969200.00,10233900.00,3852900.00,912600.00,31401000.00,122001300.00,2384101800.00,68829300.00,559483200.00,177284700.00,593100.00,13258800.00,3107700.00,4521600.00,3483417600.00,3483417600.00,0.00,2.04,73.92,0.40,1.37,0.00,1.61,0.29,0.11,0.03,0.90,3.50,68.44,1.98,16.06,5.09,0.02,0.38,0.09,0.13,Within USA
18020126,0.00,12039300.00,0.00,72932400.00,12290400.00,5736600.00,1263600.00,6428700.00,123393600.00,454594500.00,35902800.00,49761000.00,292165200.00,25944300.00,125199000.00,2511900.00,8243100.00,1228406400.00,1228406400.00,0.00,7.51,49.97,12.30,0.98,0.00,5.94,1.00,0.47,0.10,0.52,10.05,37.01,2.92,4.05,23.78,2.11,10.19,0.20,0.67,Within USA
18020128,0.00,42423300.00,0.00,29853900.00,7196400.00,2241000.00,291600.00,20181600.00,46704600.00,1791478800.00,112368600.00,513759600.00,52013700.00,0.00,0.00,99900.00,4118400.00,2622731400.00,2622731400.00,0.00,1.51,74.37,0.00,1.62,0.00,1.14,0.27,0.09,0.01,0.77,1.78,68.31,4.28,19.59,1.98,0.00,0.00,0.00,0.16,Within USA
18020129,0.00,41334300.00,0.00,56061900.00,22932000.00,5355000.00,1221300.00,32058000.00,48051000.00,1234540800.00,57794400.00,520285500.00,173534400.00,12600.00,14400.00,90900.00,7226100.00,2200512600.00,2200512600.00,0.00,3.89,60.91,0.00,1.88,0.00,2.55,1.04,0.24,0.06,1.46,2.18,56.10,2.63,23.64,7.89,0.00,0.00,0.00,0.33,Within USA
18020151,0.00,1455300.00,0.00,26554500.00,2502900.00,516600.00,184500.00,1440000.00,68601600.00,399096000.00,7875000.00,285899400.00,251311500.00,48621600.00,10853100.00,1821600.00,436500.00,1107170100.00,1107170100.00,0.00,2.69,42.95,5.37,0.13,0.00,2.40,0.23,0.05,0.02,0.13,6.20,36.05,0.71,25.82,22.70,4.39,0.98,0.16,0.04,Within USA
18020152,0.00,2351700.00,0.00,63671400.00,3373200.00,1525500.00,358200.00,6731100.00,85266900.00,439808400.00,119761200.00,1061261100.00,593205300.00,33214500.00,1549800.00,31874400.00,38700.00,2443991400.00,2443991400.00,0.00,2.82,26.38,1.42,0.10,0.00,2.61,0.14,0.06,0.01,0.28,3.49,18.00,4.90,43.42,24.27,1.36,0.06,1.30,0.00,Within USA
18020153,0.00,984600.00,0.00,11321100.00,670500.00,54000.00,0.00,4503600.00,11270700.00,548432100.00,901800.00,201102300.00,163024200.00,4252500.00,2397600.00,1950300.00,5692500.00,956557800.00,956557800.00,0.00,1.26,58.61,0.70,0.10,0.00,1.18,0.07,0.01,0.00,0.47,1.18,57.33,0.09,21.02,17.04,0.44,0.25,0.20,0.60,Within USA
18020154,0.00,23533200.00,0.00,113073300.00,42396300.00,30981600.00,7321500.00,7801200.00,125472600.00,508023900.00,132723000.00,384287400.00,304959600.00,59191200.00,23827500.00,10650600.00,1505700.00,1775748600.00,1775748600.00,0.00,10.91,43.15,4.68,1.33,0.00,6.37,2.39,1.74,0.41,0.44,7.07,28.61,7.47,21.64,17.17,3.33,1.34,0.60,0.08,Within USA
18020155,0.00,7233300.00,0.00,35389800.00,6563700.00,6231600.00,1618200.00,3150900.00,26116200.00,50064300.00,12061800.00,270024300.00,654100200.00,9279900.00,5925600.00,9332100.00,73800.00,1097165700.00,1097165700.00,0.00,4.54,8.04,1.39,0.66,0.00,3.23,0.60,0.57,0.15,0.29,2.38,4.56,1.10,24.61,59.62,0.85,0.54,0.85,0.01,Within USA
18020156,0.00,7548300.00,0.00,66813300.00,8404200.00,3141900.00,1450800.00,20014200.00,33425100.00,599994000.00,30988800.00,576419400.00,1045054800.00,79147800.00,125221500.00,14198400.00,1163700.00,2612986200.00,2612986200.00,0.00,3.05,25.43,7.82,0.29,0.00,2.56,0.32,0.12,0.06,0.77,1.28,22.96,1.19,22.06,39.99,3.03,4.79,0.54,0.04,Within USA
18020157,0.00,9296100.00,0.00,62469000.00,28992600.00,24830100.00,4493700.00,11913300.00,51290100.00,552777300.00,3395700.00,284943600.00,933250500.00,97030800.00,367494300.00,26221500.00,7899300.00,2466297900.00,2466297900.00,0.00,4.90,24.63,18.83,0.38,0.00,2.53,1.18,1.01,0.18,0.48,2.08,22.41,0.14,11.55,37.84,3.93,14.90,1.06,0.32,Within USA
18020158,0.00,4505400.00,0.00,68832000.00,27387000.00,16714800.00,4295700.00,6541200.00,66139200.00,344412900.00,4917600.00,93007800.00,322207200.00,32151600.00,996924600.00,16422300.00,118208700.00,2122668000.00,2122668000.00,0.00,5.52,19.57,48.48,0.21,0.00,3.24,1.29,0.79,0.20,0.31,3.12,16.23,0.23,4.38,15.18,1.51,46.97,0.77,5.57,Within USA
18020159,0.00,33452100.00,0.00,122221800.00,46285200.00,39474000.00,9522000.00,40384800.00,109384200.00,132309000.00,8889300.00,13743000.00,532689300.00,53556300.00,805239000.00,24336900.00,32883300.00,2004370200.00,2004370200.00,0.00,10.85,12.50,42.85,1.67,0.00,6.10,2.31,1.97,0.48,2.01,5.46,6.60,0.44,0.69,26.58,2.67,40.17,1.21,1.64,Within USA
18020161,0.00,6921900.00,0.00,83826000.00,46749600.00,70441200.00,15107400.00,10208700.00,44223300.00,50037300.00,4187700.00,5454000.00,259475400.00,65229300.00,438632100.00,5193000.00,18412200.00,1124099100.00,1124099100.00,0.00,19.23,8.76,44.82,0.62,0.00,7.46,4.16,6.27,1.34,0.91,3.93,4.45,0.37,0.49,23.08,5.80,39.02,0.46,1.64,Within USA
18020162,0.00,76091400.00,0.00,38091600.00,7573500.00,2339100.00,314100.00,3916800.00,22155300.00,175288500.00,174769200.00,835451100.00,274209300.00,12900600.00,56973600.00,5685300.00,8703900.00,1694463300.00,1694463300.00,0.00,2.85,21.97,4.12,4.49,0.00,2.25,0.45,0.14,0.02,0.23,1.31,10.34,10.31,49.30,16.18,0.76,3.36,0.34,0.51,Within USA
03040206,0.00,84091500.00,0.00,217824300.00,91306800.00,27899100.00,5777100.00,11337300.00,2538000.00,656556300.00,42066900.00,442392300.00,156483000.00,11231100.00,732772800.00,1638621900.00,156262500.00,4277160900.00,4277160900.00,0.00,8.01,16.39,17.39,1.97,0.00,5.09,2.13,0.65,0.14,0.27,0.06,15.35,0.98,10.34,3.66,0.26,17.13,38.31,3.65,Within USA
03040208,78309900.00,686781000.00,0.00,109877400.00,85763700.00,36018000.00,6464700.00,31902300.00,184500.00,207148500.00,3730500.00,101334600.00,41133600.00,472500.00,48451500.00,233019900.00,89083800.00,1759676400.00,1759676400.00,4.45,13.53,11.99,2.78,39.03,0.00,6.24,4.87,2.05,0.37,1.81,0.01,11.77,0.21,5.76,2.34,0.03,2.75,13.24,5.06,Within USA
03050103,0.00,39109500.00,0.00,486282600.00,291297600.00,111830400.00,59322600.00,15239700.00,1010061000.00,663102000.00,61877700.00,23290200.00,162624600.00,497990700.00,4708800.00,29107800.00,234000.00,3456079200.00,3456079200.00,0.00,27.45,50.20,14.55,1.13,0.00,14.07,8.43,3.24,1.72,0.44,29.23,19.19,1.79,0.67,4.71,14.41,0.14,0.84,0.01,Within USA
03050105,0.00,49538700.00,0.00,558730800.00,151510500.00,42840900.00,18685800.00,26034300.00,2887589700.00,741603600.00,104474700.00,90430200.00,393221700.00,1277550000.00,8172900.00,68635800.00,369900.00,6419389500.00,6419389500.00,0.00,12.02,58.16,20.03,0.77,0.00,8.70,2.36,0.67,0.29,0.41,44.98,11.55,1.63,1.41,6.13,19.90,0.13,1.07,0.01,Within USA
03050109,0.00,277060500.00,0.00,632844900.00,235355400.00,90215100.00,40183200.00,41943600.00,1994053500.00,1417869000.00,79014600.00,92730600.00,503282700.00,975974400.00,23944500.00,133092900.00,1190700.00,6538755600.00,6538755600.00,0.00,15.27,53.39,15.29,4.24,0.00,9.68,3.60,1.38,0.61,0.64,30.50,21.68,1.21,1.42,7.70,14.93,0.37,2.04,0.02,Within USA
03060101,0.00,187778700.00,0.00,277644600.00,74378700.00,22788900.00,9594000.00,12551400.00,1168774200.00,322113600.00,46142100.00,23118300.00,188895600.00,316112400.00,921600.00,11172600.00,645300.00,2662632000.00,2662632000.00,0.00,14.44,57.73,11.91,7.05,0.00,10.43,2.79,0.86,0.36,0.47,43.90,12.10,1.73,0.87,7.09,11.87,0.03,0.42,0.02,Within USA
10120106,0.00,14505300.00,0.00,34204500.00,7479900.00,919800.00,43200.00,5560200.00,194400.00,396208800.00,0.00,670964400.00,2375453700.00,6873300.00,83799000.00,16596000.00,19643400.00,3632445900.00,3632445900.00,0.00,1.17,10.91,2.50,0.40,0.00,0.94,0.21,0.03,0.00,0.15,0.01,10.91,0.00,18.47,65.40,0.19,2.31,0.46,0.54,Within USA
10120109,0.00,13159800.00,0.00,57396600.00,15694200.00,6365700.00,462600.00,329562900.00,6552900.00,1423013400.00,1638900.00,341417700.00,3082806900.00,30477600.00,151803000.00,17333100.00,22167000.00,5499852300.00,5499852300.00,0.00,1.45,26.02,3.31,0.24,0.00,1.04,0.29,0.12,0.01,5.99,0.12,25.87,0.03,6.21,56.05,0.55,2.76,0.32,0.40,Within USA
10120110,0.00,5931900.00,0.00,37998900.00,27225900.00,24516900.00,7376400.00,6064200.00,2884500.00,909335700.00,1075500.00,68214600.00,677649600.00,3572100.00,54544500.00,21021300.00,4905000.00,1852317000.00,1852317000.00,0.00,5.24,49.31,3.14,0.32,0.00,2.05,1.47,1.32,0.40,0.33,0.16,49.09,0.06,3.68,36.58,0.19,2.94,1.13,0.26,Within USA
10120111,0.00,18457200.00,0.00,70446600.00,21933000.00,8520300.00,2625300.00,112924800.00,16469100.00,618567300.00,28992600.00,132019200.00,2534581800.00,17859600.00,411278400.00,68452200.00,25555500.00,4088682900.00,4088682900.00,0.00,2.53,16.24,10.50,0.45,0.00,1.72,0.54,0.21,0.06,2.76,0.40,15.13,0.71,3.23,61.99,0.44,10.06,1.67,0.63,Within USA
10120112,0.00,29918700.00,0.00,47238300.00,2381400.00,61200.00,13500.00,12230100.00,55573200.00,41415300.00,7257600.00,20923200.00,3464996400.00,32689800.00,414053100.00,43043400.00,25932600.00,4197727800.00,4197727800.00,0.00,1.18,2.48,10.64,0.71,0.00,1.13,0.06,0.00,0.00,0.29,1.32,0.99,0.17,0.50,82.54,0.78,9.86,1.03,0.62,Within USA
10120113,0.00,35553600.00,0.00,13351500.00,3815100.00,481500.00,40500.00,16048800.00,16565400.00,1257300.00,925200.00,25452900.00,4214053800.00,171032400.00,196759800.00,90080100.00,11589300.00,4797007200.00,4797007200.00,0.00,0.37,0.39,7.67,0.74,0.00,0.28,0.08,0.01,0.00,0.33,0.35,0.03,0.02,0.53,87.85,3.57,4.10,1.88,0.24,Within USA
10120202,0.00,68422500.00,0.00,86814000.00,28266300.00,3411000.00,525600.00,85317300.00,27234000.00,516896100.00,5369400.00,1162287900.00,5405076900.00,300314700.00,513489600.00,172451700.00,32265000.00,8408142000.00,8408142000.00,0.00,1.42,6.54,9.68,0.81,0.00,1.03,0.34,0.04,0.01,1.01,0.32,6.15,0.06,13.82,64.28,3.57,6.11,2.05,0.38,Within USA
10130105,0.00,617897700.00,0.00,177224400.00,20250000.00,3742200.00,707400.00,35676000.00,3146400.00,564300.00,117000.00,7198200.00,6292433700.00,57885300.00,2567997000.00,23490900.00,119146500.00,9927477000.00,9927477000.00,0.00,2.03,0.04,26.45,6.22,0.00,1.79,0.20,0.04,0.01,0.36,0.03,0.01,0.00,0.07,63.38,0.58,25.87,0.24,1.20,Within USA
